date,bitcoin chart_unscaled,bitcoin chart_monthly,isPartial,scale,bitcoin chart
2017-08-01,64,,,,
2017-08-02,65,,,,
2017-08-03,44,,,,
2017-08-04,32,,,,
2017-08-05,36,,,,
2017-08-06,24,16.0,False,0.16,3.84
2017-08-07,50,16.0,,0.16,8.0
2017-08-08,45,16.0,,0.16,7.2
2017-08-09,43,16.0,,0.16,6.88
2017-08-10,46,16.0,,0.16,7.36
2017-08-11,50,16.0,,0.16,8.0
2017-08-12,64,16.0,,0.16,10.24
2017-08-13,72,22.0,False,0.22,15.84
2017-08-14,91,22.0,,0.22,20.02
2017-08-15,100,22.0,,0.22,22.0
2017-08-16,58,22.0,,0.22,12.76
2017-08-17,62,22.0,,0.22,13.64
2017-08-18,67,22.0,,0.22,14.74
2017-08-19,38,22.0,,0.22,8.36
2017-08-20,42,14.0,False,0.14,5.880000000000001
2017-08-21,58,14.0,,0.14,8.120000000000001
2017-08-22,76,14.0,,0.14,10.64
2017-08-23,37,14.0,,0.14,5.180000000000001
2017-08-24,64,14.0,,0.14,8.96
2017-08-25,33,14.0,,0.14,4.62
2017-08-26,38,14.0,,0.14,5.32
2017-08-27,32,17.0,False,0.17,5.44
2017-08-28,45,17.0,,0.17,7.65
2017-08-29,61,17.0,,0.17,10.370000000000001
2017-08-30,43,17.0,,0.17,7.3100000000000005
2017-08-31,51,17.0,,0.17,8.67
2017-09-01,31,17.0,,0.17,5.2700000000000005
2017-09-02,26,17.0,,0.17,4.42
2017-09-03,35,18.0,False,0.18,6.3
2017-09-04,62,18.0,,0.18,11.16
2017-09-05,49,18.0,,0.18,8.82
2017-09-06,54,18.0,,0.18,9.719999999999999
2017-09-07,36,18.0,,0.18,6.4799999999999995
2017-09-08,34,18.0,,0.18,6.12
2017-09-09,37,18.0,,0.18,6.66
2017-09-10,35,24.0,False,0.24,8.4
2017-09-11,35,24.0,,0.24,8.4
2017-09-12,33,24.0,,0.24,7.92
2017-09-13,74,24.0,,0.24,17.759999999999998
2017-09-14,78,24.0,,0.24,18.72
2017-09-15,100,24.0,,0.24,24.0
2017-09-16,49,24.0,,0.24,11.76
2017-09-17,42,13.0,False,0.13,5.46
2017-09-18,52,13.0,,0.13,6.76
2017-09-19,37,13.0,,0.13,4.8100000000000005
2017-09-20,32,13.0,,0.13,4.16
2017-09-21,19,13.0,,0.13,2.47
2017-09-22,16,13.0,,0.13,2.08
2017-09-23,25,13.0,,0.13,3.25
2017-09-24,15,13.0,False,0.13,1.9500000000000002
2017-09-25,24,13.0,,0.13,3.12
2017-09-26,28,13.0,,0.13,3.64
2017-09-27,20,13.0,,0.13,2.6
2017-09-28,27,13.0,,0.13,3.5100000000000002
2017-09-29,27,13.0,,0.13,3.5100000000000002
2017-09-30,39,13.0,,0.13,5.07
2017-10-01,35,10.0,False,0.1,3.5
2017-10-02,35,10.0,,0.1,3.5
2017-10-03,27,10.0,,0.1,2.7
2017-10-04,33,10.0,,0.1,3.3000000000000003
2017-10-05,25,10.0,,0.1,2.5
2017-10-06,36,10.0,,0.1,3.6
2017-10-07,33,10.0,,0.1,3.3000000000000003
2017-10-08,35,19.0,False,0.19,6.65
2017-10-09,28,19.0,,0.19,5.32
2017-10-10,32,19.0,,0.19,6.08
2017-10-11,42,19.0,,0.19,7.98
2017-10-12,92,19.0,,0.19,17.48
2017-10-13,100,19.0,,0.19,19.0
2017-10-14,64,19.0,,0.19,12.16
2017-10-15,69,17.0,False,0.17,11.73
2017-10-16,30,17.0,,0.17,5.1000000000000005
2017-10-17,58,17.0,,0.17,9.860000000000001
2017-10-18,72,17.0,,0.17,12.24
2017-10-19,40,17.0,,0.17,6.800000000000001
2017-10-20,62,17.0,,0.17,10.540000000000001
2017-10-21,71,17.0,,0.17,12.07
2017-10-22,58,17.0,False,0.17,9.860000000000001
2017-10-23,64,17.0,,0.17,10.88
2017-10-24,56,17.0,,0.17,9.520000000000001
2017-10-25,96,17.0,,0.17,16.32
2017-10-26,43,17.0,,0.17,7.3100000000000005
2017-10-27,49,17.0,,0.17,8.33
2017-10-28,42,17.0,,0.17,7.140000000000001
2017-10-29,41,28.0,False,0.28,11.48
2017-10-30,66,28.0,,0.28,18.48
2017-10-31,49,28.0,,0.28,13.72
2017-11-01,37,28.0,,0.28,10.360000000000001
2017-11-02,40,28.0,,0.28,11.200000000000001
2017-11-03,31,28.0,,0.28,8.680000000000001
2017-11-04,26,28.0,,0.28,7.280000000000001
2017-11-05,25,28.0,False,0.28,7.000000000000001
2017-11-06,23,28.0,,0.28,6.44
2017-11-07,25,28.0,,0.28,7.000000000000001
2017-11-08,25,28.0,,0.28,7.000000000000001
2017-11-09,25,28.0,,0.28,7.000000000000001
2017-11-10,23,28.0,,0.28,6.44
2017-11-11,22,28.0,,0.28,6.16
2017-11-12,45,33.0,False,0.33,14.850000000000001
2017-11-13,37,33.0,,0.33,12.21
2017-11-14,19,33.0,,0.33,6.2700000000000005
