date,bitcoin dolar_unscaled,bitcoin dolar_monthly,isPartial,scale,bitcoin dolar
2017-08-01,32,,,,
2017-08-02,72,,,,
2017-08-03,43,,,,
2017-08-04,56,,,,
2017-08-05,25,,,,
2017-08-06,13,3.0,False,0.03,0.39
2017-08-07,52,3.0,,0.03,1.56
2017-08-08,62,3.0,,0.03,1.8599999999999999
2017-08-09,43,3.0,,0.03,1.29
2017-08-10,99,3.0,,0.03,2.9699999999999998
2017-08-11,11,3.0,,0.03,0.32999999999999996
2017-08-12,75,3.0,,0.03,2.25
2017-08-13,75,4.0,False,0.04,3.0
2017-08-14,88,4.0,,0.04,3.52
2017-08-15,100,4.0,,0.04,4.0
2017-08-16,54,4.0,,0.04,2.16
2017-08-17,76,4.0,,0.04,3.04
2017-08-18,56,4.0,,0.04,2.24
2017-08-19,62,4.0,,0.04,2.48
2017-08-20,97,3.0,False,0.03,2.9099999999999997
2017-08-21,62,3.0,,0.03,1.8599999999999999
2017-08-22,43,3.0,,0.03,1.29
2017-08-23,64,3.0,,0.03,1.92
2017-08-24,43,3.0,,0.03,1.29
2017-08-25,46,3.0,,0.03,1.38
2017-08-26,0,3.0,,0.03,0.0
2017-08-27,0,3.0,False,0.03,0.0
2017-08-28,65,3.0,,0.03,1.95
2017-08-29,32,3.0,,0.03,0.96
2017-08-30,96,3.0,,0.03,2.88
2017-08-31,75,3.0,,0.03,2.25
2017-09-01,9,3.0,,0.03,0.27
2017-09-02,71,3.0,,0.03,2.13
2017-09-03,39,3.0,False,0.03,1.17
2017-09-04,27,3.0,,0.03,0.8099999999999999
2017-09-05,25,3.0,,0.03,0.75
2017-09-06,76,3.0,,0.03,2.28
2017-09-07,43,3.0,,0.03,1.29
2017-09-08,53,3.0,,0.03,1.5899999999999999
2017-09-09,68,3.0,,0.03,2.04
2017-09-10,29,5.0,False,0.05,1.4500000000000002
2017-09-11,50,5.0,,0.05,2.5
2017-09-12,67,5.0,,0.05,3.35
2017-09-13,67,5.0,,0.05,3.35
2017-09-14,51,5.0,,0.05,2.5500000000000003
2017-09-15,98,5.0,,0.05,4.9
2017-09-16,69,5.0,,0.05,3.45
2017-09-17,10,4.0,False,0.04,0.4
2017-09-18,85,4.0,,0.04,3.4
2017-09-19,100,4.0,,0.04,4.0
2017-09-20,68,4.0,,0.04,2.72
2017-09-21,17,4.0,,0.04,0.68
2017-09-22,62,4.0,,0.04,2.48
2017-09-23,39,4.0,,0.04,1.56
2017-09-24,0,3.0,False,0.03,0.0
2017-09-25,17,3.0,,0.03,0.51
2017-09-26,25,3.0,,0.03,0.75
2017-09-27,51,3.0,,0.03,1.53
2017-09-28,78,3.0,,0.03,2.34
2017-09-29,36,3.0,,0.03,1.08
2017-09-30,10,3.0,,0.03,0.3
2017-10-01,21,2.0,False,0.02,0.42
2017-10-02,27,2.0,,0.02,0.54
2017-10-03,9,2.0,,0.02,0.18
2017-10-04,27,2.0,,0.02,0.54
2017-10-05,46,2.0,,0.02,0.92
2017-10-06,9,2.0,,0.02,0.18
2017-10-07,42,2.0,,0.02,0.84
2017-10-08,42,4.0,False,0.04,1.68
2017-10-09,27,4.0,,0.04,1.08
2017-10-10,98,4.0,,0.04,3.92
2017-10-11,54,4.0,,0.04,2.16
2017-10-12,75,4.0,,0.04,3.0
2017-10-13,66,4.0,,0.04,2.64
2017-10-14,53,4.0,,0.04,2.12
2017-10-15,51,4.0,False,0.04,2.04
2017-10-16,18,4.0,,0.04,0.72
2017-10-17,72,4.0,,0.04,2.88
2017-10-18,9,4.0,,0.04,0.36
2017-10-19,47,4.0,,0.04,1.8800000000000001
2017-10-20,76,4.0,,0.04,3.04
2017-10-21,63,4.0,,0.04,2.52
2017-10-22,70,4.0,False,0.04,2.8000000000000003
2017-10-23,71,4.0,,0.04,2.84
2017-10-24,54,4.0,,0.04,2.16
2017-10-25,53,4.0,,0.04,2.12
2017-10-26,100,4.0,,0.04,4.0
2017-10-27,75,4.0,,0.04,3.0
2017-10-28,52,4.0,,0.04,2.08
2017-10-29,20,5.0,False,0.05,1.0
2017-10-30,36,5.0,,0.05,1.8
2017-10-31,28,5.0,,0.05,1.4000000000000001
2017-11-01,26,5.0,,0.05,1.3
2017-11-02,30,5.0,,0.05,1.5
2017-11-03,74,5.0,,0.05,3.7
2017-11-04,57,5.0,,0.05,2.85
2017-11-05,41,5.0,False,0.05,2.0500000000000003
2017-11-06,49,5.0,,0.05,2.45
2017-11-07,41,5.0,,0.05,2.0500000000000003
2017-11-08,17,5.0,,0.05,0.8500000000000001
2017-11-09,34,5.0,,0.05,1.7000000000000002
2017-11-10,39,5.0,,0.05,1.9500000000000002
2017-11-11,29,5.0,,0.05,1.4500000000000002
2017-11-12,61,6.0,False,0.06,3.6599999999999997
2017-11-13,69,6.0,,0.06,4.14
2017-11-14,37,6.0,,0.06,2.2199999999999998
2017-11-15,37,6.0,,0.06,2.2199999999999998
2017-11-16,62,6.0,,0.06,3.7199999999999998
2017-11-17,39,6.0,,0.06,2.34
2017-11-18,38,6.0,,0.06,2.28
2017-11-19,51,7.0,False,0.07,3.5700000000000003
2017-11-20,49,7.0,,0.07,3.43
2017-11-21,62,7.0,,0.07,4.340000000000001
2017-11-22,63,7.0,,0.07,4.41
2017-11-23,47,7.0,,0.07,3.2900000000000005
2017-11-24,30,7.0,,0.07,2.1
2017-11-25,19,7.0,,0.07,1.33
2017-11-26,51,8.0,False,0.08,4.08
2017-11-27,100,8.0,,0.08,8.0
2017-11-28,49,8.0,,0.08,3.92
2017-11-29,78,8.0,,0.08,6.24
2017-11-30,71,8.0,,0.08,5.68
2017-12-01,54,8.0,,0.08,4.32
2017-12-02,28,8.0,,0.08,2.24
2017-12-03,19,11.0,False,0.11,2.09
2017-12-04,32,11.0,,0.11,3.52
2017-12-05,54,11.0,,0.11,5.94
2017-12-06,45,11.0,,0.11,4.95
2017-12-07,69,11.0,,0.11,7.59
2017-12-08,86,11.0,,0.11,9.46
2017-12-09,59,11.0,,0.11,6.49
2017-12-10,55,13.0,False,0.13,7.15
2017-12-11,78,13.0,,0.13,10.14
2017-12-12,68,13.0,,0.13,8.84
2017-12-13,81,13.0,,0.13,10.530000000000001
2017-12-14,60,13.0,,0.13,7.800000000000001
2017-12-15,44,13.0,,0.13,5.720000000000001
2017-12-16,46,13.0,,0.13,5.98
2017-12-17,54,14.0,False,0.14,7.5600000000000005
2017-12-18,50,14.0,,0.14,7.000000000000001
2017-12-19,51,14.0,,0.14,7.140000000000001
2017-12-20,47,14.0,,0.14,6.580000000000001
2017-12-21,61,14.0,,0.14,8.540000000000001
2017-12-22,100,14.0,,0.14,14.000000000000002
2017-12-23,69,14.0,,0.14,9.66
2017-12-24,44,11.0,False,0.11,4.84
2017-12-25,34,11.0,,0.11,3.74
2017-12-26,47,11.0,,0.11,5.17
2017-12-27,26,11.0,,0.11,2.86
2017-12-28,59,11.0,,0.11,6.49
2017-12-29,49,11.0,,0.11,5.39
2017-12-30,29,11.0,,0.11,3.19
2017-12-31,21,9.0,False,0.09,1.89
2018-01-01,73,9.0,,0.09,6.569999999999999
2018-01-02,89,9.0,,0.09,8.01
2018-01-03,70,9.0,,0.09,6.3
2018-01-04,86,9.0,,0.09,7.739999999999999
2018-01-05,50,9.0,,0.09,4.5
2018-01-06,77,9.0,,0.09,6.93
2018-01-07,79,8.0,False,0.08,6.32
2018-01-08,75,8.0,,0.08,6.0
2018-01-09,89,8.0,,0.08,7.12
2018-01-10,58,8.0,,0.08,4.64
2018-01-11,80,8.0,,0.08,6.4
2018-01-12,94,8.0,,0.08,7.5200000000000005
2018-01-13,30,8.0,,0.08,2.4
2018-01-14,12,8.0,False,0.08,0.96
2018-01-15,58,8.0,,0.08,4.64
2018-01-16,89,8.0,,0.08,7.12
2018-01-17,88,8.0,,0.08,7.04
2018-01-18,90,8.0,,0.08,7.2
2018-01-19,49,8.0,,0.08,3.92
2018-01-20,54,8.0,,0.08,4.32
