date,bitcoin dollar_unscaled,bitcoin dollar_monthly,isPartial,scale,bitcoin dollar
2017-08-01,77,,,,
2017-08-02,65,,,,
2017-08-03,27,,,,
2017-08-04,24,,,,
2017-08-05,48,,,,
2017-08-06,32,11.0,False,0.11,3.52
2017-08-07,35,11.0,,0.11,3.85
2017-08-08,86,11.0,,0.11,9.46
2017-08-09,45,11.0,,0.11,4.95
2017-08-10,74,11.0,,0.11,8.14
2017-08-11,38,11.0,,0.11,4.18
2017-08-12,26,11.0,,0.11,2.86
2017-08-13,100,15.0,False,0.15,15.0
2017-08-14,42,15.0,,0.15,6.3
2017-08-15,89,15.0,,0.15,13.35
2017-08-16,82,15.0,,0.15,12.299999999999999
2017-08-17,96,15.0,,0.15,14.399999999999999
2017-08-18,61,15.0,,0.15,9.15
2017-08-19,73,15.0,,0.15,10.95
2017-08-20,61,10.0,False,0.1,6.1000000000000005
2017-08-21,44,10.0,,0.1,4.4
2017-08-22,41,10.0,,0.1,4.1000000000000005
2017-08-23,63,10.0,,0.1,6.300000000000001
2017-08-24,32,10.0,,0.1,3.2
2017-08-25,53,10.0,,0.1,5.300000000000001
2017-08-26,26,10.0,,0.1,2.6
2017-08-27,86,11.0,False,0.11,9.46
2017-08-28,27,11.0,,0.11,2.97
2017-08-29,53,11.0,,0.11,5.83
2017-08-30,72,11.0,,0.11,7.92
2017-08-31,59,11.0,,0.11,6.49
2017-09-01,60,11.0,,0.11,6.6
2017-09-02,58,11.0,,0.11,6.38
2017-09-03,23,10.0,False,0.1,2.3000000000000003
2017-09-04,62,10.0,,0.1,6.2
2017-09-05,59,10.0,,0.1,5.9
2017-09-06,39,10.0,,0.1,3.9000000000000004
2017-09-07,54,10.0,,0.1,5.4
2017-09-08,41,10.0,,0.1,4.1000000000000005
2017-09-09,19,10.0,,0.1,1.9000000000000001
2017-09-10,52,15.0,False,0.15,7.8
2017-09-11,26,15.0,,0.15,3.9
2017-09-12,39,15.0,,0.15,5.85
2017-09-13,75,15.0,,0.15,11.25
2017-09-14,82,15.0,,0.15,12.299999999999999
2017-09-15,100,15.0,,0.15,15.0
2017-09-16,38,15.0,,0.15,5.7
2017-09-17,45,10.0,False,0.1,4.5
2017-09-18,36,10.0,,0.1,3.6
2017-09-19,22,10.0,,0.1,2.2
2017-09-20,29,10.0,,0.1,2.9000000000000004
2017-09-21,53,10.0,,0.1,5.300000000000001
2017-09-22,51,10.0,,0.1,5.1000000000000005
2017-09-23,23,10.0,,0.1,2.3000000000000003
2017-09-24,48,11.0,False,0.11,5.28
2017-09-25,55,11.0,,0.11,6.05
2017-09-26,49,11.0,,0.11,5.39
2017-09-27,23,11.0,,0.11,2.53
2017-09-28,30,11.0,,0.11,3.3
2017-09-29,28,11.0,,0.11,3.08
2017-09-30,38,11.0,,0.11,4.18
2017-10-01,47,10.0,False,0.1,4.7
2017-10-02,48,10.0,,0.1,4.800000000000001
2017-10-03,45,10.0,,0.1,4.5
2017-10-04,45,10.0,,0.1,4.5
