date,bitcoin mining_unscaled,bitcoin mining_monthly,isPartial,scale,bitcoin mining
2017-08-01,57,,,,
2017-08-02,79,,,,
2017-08-03,62,,,,
2017-08-04,57,,,,
2017-08-05,47,,,,
2017-08-06,58,22.0,False,0.22,12.76
2017-08-07,75,22.0,,0.22,16.5
2017-08-08,60,22.0,,0.22,13.2
2017-08-09,70,22.0,,0.22,15.4
2017-08-10,72,22.0,,0.22,15.84
2017-08-11,37,22.0,,0.22,8.14
2017-08-12,67,22.0,,0.22,14.74
2017-08-13,80,27.0,False,0.27,21.6
2017-08-14,93,27.0,,0.27,25.110000000000003
2017-08-15,100,27.0,,0.27,27.0
2017-08-16,91,27.0,,0.27,24.57
2017-08-17,61,27.0,,0.27,16.470000000000002
2017-08-18,85,27.0,,0.27,22.950000000000003
2017-08-19,82,27.0,,0.27,22.14
2017-08-20,99,26.0,False,0.26,25.740000000000002
2017-08-21,66,26.0,,0.26,17.16
2017-08-22,76,26.0,,0.26,19.76
2017-08-23,87,26.0,,0.26,22.62
2017-08-24,72,26.0,,0.26,18.72
2017-08-25,74,26.0,,0.26,19.240000000000002
2017-08-26,72,26.0,,0.26,18.72
2017-08-27,72,27.0,False,0.27,19.44
2017-08-28,76,27.0,,0.27,20.520000000000003
2017-08-29,66,27.0,,0.27,17.82
2017-08-30,89,27.0,,0.27,24.03
2017-08-31,64,27.0,,0.27,17.28
2017-09-01,89,27.0,,0.27,24.03
2017-09-02,100,27.0,,0.27,27.0
2017-09-03,67,29.0,False,0.29,19.43
2017-09-04,80,29.0,,0.29,23.2
2017-09-05,95,29.0,,0.29,27.549999999999997
2017-09-06,60,29.0,,0.29,17.4
2017-09-07,80,29.0,,0.29,23.2
2017-09-08,66,29.0,,0.29,19.139999999999997
2017-09-09,46,29.0,,0.29,13.34
2017-09-10,57,22.0,False,0.22,12.540000000000001
2017-09-11,63,22.0,,0.22,13.86
2017-09-12,51,22.0,,0.22,11.22
2017-09-13,60,22.0,,0.22,13.2
2017-09-14,65,22.0,,0.22,14.3
2017-09-15,57,22.0,,0.22,12.540000000000001
2017-09-16,52,22.0,,0.22,11.44
2017-09-17,53,21.0,False,0.21,11.129999999999999
2017-09-18,52,21.0,,0.21,10.92
2017-09-19,69,21.0,,0.21,14.49
2017-09-20,53,21.0,,0.21,11.129999999999999
2017-09-21,56,21.0,,0.21,11.76
2017-09-22,38,21.0,,0.21,7.9799999999999995
2017-09-23,64,21.0,,0.21,13.44
2017-09-24,52,19.0,False,0.19,9.88
2017-09-25,44,19.0,,0.19,8.36
2017-09-26,44,19.0,,0.19,8.36
2017-09-27,67,19.0,,0.19,12.73
2017-09-28,67,19.0,,0.19,12.73
2017-09-29,57,19.0,,0.19,10.83
2017-09-30,50,19.0,,0.19,9.5
2017-10-01,52,19.0,False,0.19,9.88
2017-10-02,48,19.0,,0.19,9.120000000000001
2017-10-03,45,19.0,,0.19,8.55
2017-10-04,51,19.0,,0.19,9.69
2017-10-05,50,19.0,,0.19,9.5
2017-10-06,39,19.0,,0.19,7.41
2017-10-07,50,19.0,,0.19,9.5
2017-10-08,51,26.0,False,0.26,13.26
2017-10-09,47,26.0,,0.26,12.22
2017-10-10,49,26.0,,0.26,12.74
2017-10-11,33,26.0,,0.26,8.58
2017-10-12,98,26.0,,0.26,25.48
2017-10-13,87,26.0,,0.26,22.62
2017-10-14,52,26.0,,0.26,13.52
2017-10-15,89,28.0,False,0.28,24.92
2017-10-16,69,28.0,,0.28,19.32
2017-10-17,59,28.0,,0.28,16.520000000000003
2017-10-18,84,28.0,,0.28,23.520000000000003
2017-10-19,71,28.0,,0.28,19.880000000000003
2017-10-20,67,28.0,,0.28,18.76
2017-10-21,67,28.0,,0.28,18.76
2017-10-22,74,32.0,False,0.32,23.68
2017-10-23,93,32.0,,0.32,29.76
2017-10-24,99,32.0,,0.32,31.68
2017-10-25,73,32.0,,0.32,23.36
2017-10-26,84,32.0,,0.32,26.88
2017-10-27,70,32.0,,0.32,22.400000000000002
2017-10-28,66,32.0,,0.32,21.12
2017-10-29,79,40.0,False,0.4,31.6
2017-10-30,64,40.0,,0.4,25.6
2017-10-31,100,40.0,,0.4,40.0
2017-11-01,47,40.0,,0.4,18.8
2017-11-02,48,40.0,,0.4,19.200000000000003
2017-11-03,59,40.0,,0.4,23.6
2017-11-04,47,40.0,,0.4,18.8
2017-11-05,51,39.0,False,0.39,19.89
2017-11-06,50,39.0,,0.39,19.5
2017-11-07,44,39.0,,0.39,17.16
2017-11-08,38,39.0,,0.39,14.82
2017-11-09,40,39.0,,0.39,15.600000000000001
2017-11-10,46,39.0,,0.39,17.94
2017-11-11,49,39.0,,0.39,19.11
2017-11-12,62,39.0,False,0.39,24.18
2017-11-13,57,39.0,,0.39,22.23
2017-11-14,47,39.0,,0.39,18.330000000000002
2017-11-15,42,39.0,,0.39,16.38
2017-11-16,41,39.0,,0.39,15.99
2017-11-17,39,39.0,,0.39,15.21
2017-11-18,45,39.0,,0.39,17.55
2017-11-19,39,39.0,False,0.39,15.21
2017-11-20,52,39.0,,0.39,20.28
2017-11-21,52,39.0,,0.39,20.28
2017-11-22,45,39.0,,0.39,17.55
2017-11-23,50,39.0,,0.39,19.5
2017-11-24,43,39.0,,0.39,16.77
2017-11-25,52,39.0,,0.39,20.28
2017-11-26,53,69.0,False,0.69,36.57
2017-11-27,81,69.0,,0.69,55.88999999999999
2017-11-28,91,69.0,,0.69,62.78999999999999
2017-11-29,97,69.0,,0.69,66.92999999999999
2017-11-30,100,69.0,,0.69,69.0
2017-12-01,55,69.0,,0.69,37.949999999999996
2017-12-02,57,69.0,,0.69,39.33
2017-12-03,46,100.0,False,1.0,46.0
2017-12-04,53,100.0,,1.0,53.0
2017-12-05,56,100.0,,1.0,56.0
2017-12-06,72,100.0,,1.0,72.0
2017-12-07,100,100.0,,1.0,100.0
2017-12-08,94,100.0,,1.0,94.0
2017-12-09,79,100.0,,1.0,79.0
2017-12-10,66,93.0,False,0.93,61.38
2017-12-11,58,93.0,,0.93,53.940000000000005
2017-12-12,74,93.0,,0.93,68.82000000000001
2017-12-13,72,93.0,,0.93,66.96000000000001
2017-12-14,72,93.0,,0.93,66.96000000000001
2017-12-15,56,93.0,,0.93,52.080000000000005
2017-12-16,62,93.0,,0.93,57.660000000000004
2017-12-17,64,78.0,False,0.78,49.92
2017-12-18,69,78.0,,0.78,53.82
2017-12-19,68,78.0,,0.78,53.04
2017-12-20,62,78.0,,0.78,48.36
2017-12-21,57,78.0,,0.78,44.46
2017-12-22,64,78.0,,0.78,49.92
2017-12-23,48,78.0,,0.78,37.44
2017-12-24,41,56.0,False,0.56,22.96
2017-12-25,42,56.0,,0.56,23.520000000000003
2017-12-26,46,56.0,,0.56,25.76
2017-12-27,43,56.0,,0.56,24.080000000000002
2017-12-28,43,56.0,,0.56,24.080000000000002
2017-12-29,34,56.0,,0.56,19.040000000000003
2017-12-30,29,56.0,,0.56,16.240000000000002
2017-12-31,36,49.0,False,0.49,17.64
2018-01-01,76,49.0,,0.49,37.24
2018-01-02,68,49.0,,0.49,33.32
2018-01-03,78,49.0,,0.49,38.22
2018-01-04,70,49.0,,0.49,34.3
2018-01-05,78,49.0,,0.49,38.22
2018-01-06,73,49.0,,0.49,35.769999999999996
2018-01-07,66,58.0,False,0.58,38.279999999999994
2018-01-08,77,58.0,,0.58,44.66
2018-01-09,72,58.0,,0.58,41.76
2018-01-10,76,58.0,,0.58,44.08
2018-01-11,100,58.0,,0.58,57.99999999999999
2018-01-12,87,58.0,,0.58,50.459999999999994
2018-01-13,73,58.0,,0.58,42.339999999999996
2018-01-14,60,46.0,False,0.46,27.6
2018-01-15,70,46.0,,0.46,32.2
2018-01-16,67,46.0,,0.46,30.82
2018-01-17,80,46.0,,0.46,36.800000000000004
2018-01-18,61,46.0,,0.46,28.060000000000002
2018-01-19,57,46.0,,0.46,26.220000000000002
2018-01-20,56,46.0,,0.46,25.76
2018-01-21,50,38.0,False,0.38,19.0
2018-01-22,64,38.0,,0.38,24.32
2018-01-23,56,38.0,,0.38,21.28
2018-01-24,64,38.0,,0.38,24.32
2018-01-25,57,38.0,,0.38,21.66
2018-01-26,55,38.0,,0.38,20.9
2018-01-27,55,38.0,,0.38,20.9
2018-01-28,55,31.0,False,0.31,17.05
2018-01-29,50,31.0,,0.31,15.5
2018-01-30,43,31.0,,0.31,13.33
2018-01-31,47,31.0,,0.31,14.57
2018-02-01,92,31.0,,0.31,28.52
2018-02-02,100,31.0,,0.31,31.0
2018-02-03,90,31.0,,0.31,27.9
2018-02-04,77,29.0,False,0.29,22.33
2018-02-05,98,29.0,,0.29,28.419999999999998
2018-02-06,74,29.0,,0.29,21.459999999999997
2018-02-07,69,29.0,,0.29,20.009999999999998
