date,bitcoin stock_unscaled,bitcoin stock_monthly,isPartial,scale,bitcoin stock
2017-08-01,71,,,,
2017-08-02,57,,,,
2017-08-03,34,,,,
2017-08-04,31,,,,
2017-08-05,20,,,,
2017-08-06,12,7.0,False,0.07,0.8400000000000001
2017-08-07,39,7.0,,0.07,2.7300000000000004
2017-08-08,46,7.0,,0.07,3.22
2017-08-09,34,7.0,,0.07,2.3800000000000003
2017-08-10,34,7.0,,0.07,2.3800000000000003
2017-08-11,46,7.0,,0.07,3.22
2017-08-12,34,7.0,,0.07,2.3800000000000003
2017-08-13,46,12.0,False,0.12,5.52
2017-08-14,89,12.0,,0.12,10.68
2017-08-15,100,12.0,,0.12,12.0
2017-08-16,64,12.0,,0.12,7.68
2017-08-17,42,12.0,,0.12,5.04
2017-08-18,59,12.0,,0.12,7.08
2017-08-19,27,12.0,,0.12,3.2399999999999998
2017-08-20,24,8.0,False,0.08,1.92
2017-08-21,26,8.0,,0.08,2.08
2017-08-22,33,8.0,,0.08,2.64
2017-08-23,50,8.0,,0.08,4.0
2017-08-24,32,8.0,,0.08,2.56
2017-08-25,47,8.0,,0.08,3.7600000000000002
2017-08-26,17,8.0,,0.08,1.36
2017-08-27,9,9.0,False,0.09,0.8099999999999999
2017-08-28,51,9.0,,0.09,4.59
2017-08-29,60,9.0,,0.09,5.3999999999999995
2017-08-30,50,9.0,,0.09,4.5
2017-08-31,50,9.0,,0.09,4.5
2017-09-01,59,9.0,,0.09,5.31
2017-09-02,34,9.0,,0.09,3.06
2017-09-03,42,10.0,False,0.1,4.2
2017-09-04,30,10.0,,0.1,3.0
2017-09-05,47,10.0,,0.1,4.7
2017-09-06,45,10.0,,0.1,4.5
2017-09-07,38,10.0,,0.1,3.8000000000000003
2017-09-08,32,10.0,,0.1,3.2
2017-09-09,24,10.0,,0.1,2.4000000000000004
2017-09-10,26,10.0,False,0.1,2.6
2017-09-11,37,10.0,,0.1,3.7
2017-09-12,37,10.0,,0.1,3.7
2017-09-13,66,10.0,,0.1,6.6000000000000005
2017-09-14,100,10.0,,0.1,10.0
2017-09-15,64,10.0,,0.1,6.4
2017-09-16,30,10.0,,0.1,3.0
2017-09-17,4,9.0,False,0.09,0.36
2017-09-18,49,9.0,,0.09,4.41
2017-09-19,39,9.0,,0.09,3.51
2017-09-20,42,9.0,,0.09,3.78
2017-09-21,28,9.0,,0.09,2.52
2017-09-22,45,9.0,,0.09,4.05
2017-09-23,17,9.0,,0.09,1.53
2017-09-24,15,6.0,False,0.06,0.8999999999999999
2017-09-25,36,6.0,,0.06,2.16
2017-09-26,39,6.0,,0.06,2.34
2017-09-27,45,6.0,,0.06,2.6999999999999997
2017-09-28,44,6.0,,0.06,2.6399999999999997
2017-09-29,28,6.0,,0.06,1.68
2017-09-30,13,6.0,,0.06,0.78
2017-10-01,7,6.0,False,0.06,0.42
2017-10-02,45,6.0,,0.06,2.6999999999999997
2017-10-03,46,6.0,,0.06,2.76
2017-10-04,36,6.0,,0.06,2.16
2017-10-05,30,6.0,,0.06,1.7999999999999998
2017-10-06,20,6.0,,0.06,1.2
2017-10-07,25,6.0,,0.06,1.5
2017-10-08,24,9.0,False,0.09,2.16
2017-10-09,28,9.0,,0.09,2.52
2017-10-10,40,9.0,,0.09,3.5999999999999996
2017-10-11,32,9.0,,0.09,2.88
2017-10-12,68,9.0,,0.09,6.12
2017-10-13,100,9.0,,0.09,9.0
2017-10-14,25,9.0,,0.09,2.25
2017-10-15,29,10.0,False,0.1,2.9000000000000004
2017-10-16,55,10.0,,0.1,5.5
2017-10-17,69,10.0,,0.1,6.9
2017-10-18,58,10.0,,0.1,5.800000000000001
2017-10-19,64,10.0,,0.1,6.4
2017-10-20,69,10.0,,0.1,6.9
2017-10-21,39,10.0,,0.1,3.9000000000000004
2017-10-22,40,10.0,False,0.1,4.0
2017-10-23,73,10.0,,0.1,7.300000000000001
2017-10-24,63,10.0,,0.1,6.300000000000001
2017-10-25,58,10.0,,0.1,5.800000000000001
2017-10-26,58,10.0,,0.1,5.800000000000001
2017-10-27,64,10.0,,0.1,6.4
2017-10-28,37,10.0,,0.1,3.7
2017-10-29,48,17.0,False,0.17,8.16
