date,bitcoin usd_unscaled,bitcoin usd_monthly,isPartial,scale,bitcoin usd
2017-08-01,64,,,,
2017-08-02,61,,,,
2017-08-03,46,,,,
2017-08-04,35,,,,
2017-08-05,60,,,,
2017-08-06,55,12.0,False,0.12,6.6
2017-08-07,67,12.0,,0.12,8.04
2017-08-08,66,12.0,,0.12,7.92
2017-08-09,56,12.0,,0.12,6.72
2017-08-10,50,12.0,,0.12,6.0
2017-08-11,51,12.0,,0.12,6.12
2017-08-12,78,12.0,,0.12,9.36
2017-08-13,89,18.0,False,0.18,16.02
2017-08-14,97,18.0,,0.18,17.46
2017-08-15,87,18.0,,0.18,15.66
2017-08-16,68,18.0,,0.18,12.24
2017-08-17,100,18.0,,0.18,18.0
2017-08-18,84,18.0,,0.18,15.12
2017-08-19,71,18.0,,0.18,12.78
2017-08-20,55,13.0,False,0.13,7.15
2017-08-21,43,13.0,,0.13,5.59
2017-08-22,70,13.0,,0.13,9.1
2017-08-23,63,13.0,,0.13,8.19
2017-08-24,67,13.0,,0.13,8.71
2017-08-25,64,13.0,,0.13,8.32
2017-08-26,63,13.0,,0.13,8.19
2017-08-27,38,14.0,False,0.14,5.32
2017-08-28,47,14.0,,0.14,6.580000000000001
2017-08-29,72,14.0,,0.14,10.080000000000002
2017-08-30,65,14.0,,0.14,9.100000000000001
2017-08-31,68,14.0,,0.14,9.520000000000001
2017-09-01,64,14.0,,0.14,8.96
2017-09-02,61,14.0,,0.14,8.540000000000001
2017-09-03,55,14.0,False,0.14,7.700000000000001
2017-09-04,65,14.0,,0.14,9.100000000000001
2017-09-05,80,14.0,,0.14,11.200000000000001
2017-09-06,50,14.0,,0.14,7.000000000000001
2017-09-07,51,14.0,,0.14,7.140000000000001
2017-09-08,57,14.0,,0.14,7.98
2017-09-09,51,14.0,,0.14,7.140000000000001
2017-09-10,57,17.0,False,0.17,9.690000000000001
2017-09-11,55,17.0,,0.17,9.350000000000001
2017-09-12,44,17.0,,0.17,7.48
2017-09-13,69,17.0,,0.17,11.73
2017-09-14,82,17.0,,0.17,13.940000000000001
2017-09-15,100,17.0,,0.17,17.0
2017-09-16,90,17.0,,0.17,15.3
2017-09-17,74,14.0,False,0.14,10.360000000000001
2017-09-18,60,14.0,,0.14,8.4
2017-09-19,63,14.0,,0.14,8.82
2017-09-20,52,14.0,,0.14,7.280000000000001
2017-09-21,65,14.0,,0.14,9.100000000000001
2017-09-22,59,14.0,,0.14,8.260000000000002
2017-09-23,50,14.0,,0.14,7.000000000000001
2017-09-24,44,11.0,False,0.11,4.84
2017-09-25,41,11.0,,0.11,4.51
2017-09-26,39,11.0,,0.11,4.29
2017-09-27,46,11.0,,0.11,5.06
2017-09-28,52,11.0,,0.11,5.72
2017-09-29,47,11.0,,0.11,5.17
2017-09-30,48,11.0,,0.11,5.28
2017-10-01,37,10.0,False,0.1,3.7
2017-10-02,49,10.0,,0.1,4.9
2017-10-03,49,10.0,,0.1,4.9
2017-10-04,36,10.0,,0.1,3.6
2017-10-05,40,10.0,,0.1,4.0
2017-10-06,43,10.0,,0.1,4.3
2017-10-07,43,10.0,,0.1,4.3
2017-10-08,31,16.0,False,0.16,4.96
2017-10-09,45,16.0,,0.16,7.2
2017-10-10,49,16.0,,0.16,7.84
2017-10-11,49,16.0,,0.16,7.84
2017-10-12,100,16.0,,0.16,16.0
2017-10-13,97,16.0,,0.16,15.52
2017-10-14,74,16.0,,0.16,11.84
2017-10-15,65,16.0,False,0.16,10.4
2017-10-16,68,16.0,,0.16,10.88
2017-10-17,59,16.0,,0.16,9.44
2017-10-18,42,16.0,,0.16,6.72
2017-10-19,64,16.0,,0.16,10.24
2017-10-20,74,16.0,,0.16,11.84
2017-10-21,77,16.0,,0.16,12.32
2017-10-22,59,16.0,False,0.16,9.44
2017-10-23,56,16.0,,0.16,8.96
2017-10-24,77,16.0,,0.16,12.32
2017-10-25,64,16.0,,0.16,10.24
2017-10-26,60,16.0,,0.16,9.6
2017-10-27,66,16.0,,0.16,10.56
2017-10-28,49,16.0,,0.16,7.84
2017-10-29,60,26.0,False,0.26,15.600000000000001
2017-10-30,75,26.0,,0.26,19.5
2017-10-31,90,26.0,,0.26,23.400000000000002
2017-11-01,29,26.0,,0.26,7.54
2017-11-02,40,26.0,,0.26,10.4
2017-11-03,34,26.0,,0.26,8.84
2017-11-04,23,26.0,,0.26,5.98
2017-11-05,26,25.0,False,0.25,6.5
2017-11-06,25,25.0,,0.25,6.25
2017-11-07,22,25.0,,0.25,5.5
2017-11-08,25,25.0,,0.25,6.25
2017-11-09,24,25.0,,0.25,6.0
2017-11-10,30,25.0,,0.25,7.5
2017-11-11,24,25.0,,0.25,6.0
2017-11-12,33,28.0,False,0.28,9.24
2017-11-13,29,28.0,,0.28,8.120000000000001
2017-11-14,20,28.0,,0.28,5.6000000000000005
2017-11-15,28,28.0,,0.28,7.840000000000001
2017-11-16,27,28.0,,0.28,7.5600000000000005
2017-11-17,36,28.0,,0.28,10.080000000000002
2017-11-18,25,28.0,,0.28,7.000000000000001
2017-11-19,20,23.0,False,0.23,4.6000000000000005
2017-11-20,29,23.0,,0.23,6.67
2017-11-21,31,23.0,,0.23,7.13
2017-11-22,25,23.0,,0.23,5.75
2017-11-23,22,23.0,,0.23,5.0600000000000005
2017-11-24,22,23.0,,0.23,5.0600000000000005
2017-11-25,23,23.0,,0.23,5.29
2017-11-26,38,69.0,False,0.69,26.22
2017-11-27,50,69.0,,0.69,34.5
2017-11-28,70,69.0,,0.69,48.3
2017-11-29,100,69.0,,0.69,69.0
2017-11-30,92,69.0,,0.69,63.48
2017-12-01,40,69.0,,0.69,27.599999999999998
2017-12-02,33,69.0,,0.69,22.77
2017-12-03,30,97.0,False,0.97,29.099999999999998
2017-12-04,34,97.0,,0.97,32.98
2017-12-05,35,97.0,,0.97,33.949999999999996
2017-12-06,47,97.0,,0.97,45.589999999999996
2017-12-07,99,97.0,,0.97,96.03
2017-12-08,98,97.0,,0.97,95.06
2017-12-09,58,97.0,,0.97,56.26
2017-12-10,49,84.0,False,0.84,41.16
2017-12-11,63,84.0,,0.84,52.919999999999995
2017-12-12,62,84.0,,0.84,52.08
2017-12-13,46,84.0,,0.84,38.64
2017-12-14,44,84.0,,0.84,36.96
2017-12-15,39,84.0,,0.84,32.76
2017-12-16,40,84.0,,0.84,33.6
2017-12-17,48,100.0,False,1.0,48.0
2017-12-18,45,100.0,,1.0,45.0
2017-12-19,46,100.0,,1.0,46.0
2017-12-20,59,100.0,,1.0,59.0
2017-12-21,50,100.0,,1.0,50.0
2017-12-22,100,100.0,,1.0,100.0
2017-12-23,72,100.0,,1.0,72.0
2017-12-24,50,65.0,False,0.65,32.5
2017-12-25,39,65.0,,0.65,25.35
2017-12-26,40,65.0,,0.65,26.0
2017-12-27,37,65.0,,0.65,24.05
2017-12-28,37,65.0,,0.65,24.05
2017-12-29,34,65.0,,0.65,22.1
2017-12-30,32,65.0,,0.65,20.8
2017-12-31,25,49.0,False,0.49,12.25
2018-01-01,51,49.0,,0.49,24.99
2018-01-02,62,49.0,,0.49,30.38
2018-01-03,55,49.0,,0.49,26.95
2018-01-04,48,49.0,,0.49,23.52
2018-01-05,44,49.0,,0.49,21.56
2018-01-06,44,49.0,,0.49,21.56
2018-01-07,42,42.0,False,0.42,17.64
2018-01-08,48,42.0,,0.42,20.16
