date,bitcoin value_unscaled,bitcoin value_monthly,isPartial,scale,bitcoin value
2017-08-01,79,,,,
2017-08-02,55,,,,
2017-08-03,73,,,,
2017-08-04,41,,,,
2017-08-05,49,,,,
2017-08-06,36,11.0,False,0.11,3.96
2017-08-07,70,11.0,,0.11,7.7
2017-08-08,48,11.0,,0.11,5.28
2017-08-09,48,11.0,,0.11,5.28
2017-08-10,56,11.0,,0.11,6.16
2017-08-11,53,11.0,,0.11,5.83
2017-08-12,74,11.0,,0.11,8.14
2017-08-13,92,15.0,False,0.15,13.799999999999999
2017-08-14,81,15.0,,0.15,12.15
2017-08-15,100,15.0,,0.15,15.0
2017-08-16,53,15.0,,0.15,7.949999999999999
2017-08-17,67,15.0,,0.15,10.049999999999999
2017-08-18,87,15.0,,0.15,13.049999999999999
2017-08-19,66,15.0,,0.15,9.9
2017-08-20,62,12.0,False,0.12,7.4399999999999995
2017-08-21,36,12.0,,0.12,4.32
2017-08-22,77,12.0,,0.12,9.24
2017-08-23,72,12.0,,0.12,8.64
2017-08-24,49,12.0,,0.12,5.88
2017-08-25,65,12.0,,0.12,7.8
2017-08-26,41,12.0,,0.12,4.92
2017-08-27,69,18.0,False,0.18,12.42
2017-08-28,53,18.0,,0.18,9.54
2017-08-29,76,18.0,,0.18,13.68
2017-08-30,97,18.0,,0.18,17.46
2017-08-31,81,18.0,,0.18,14.58
2017-09-01,51,18.0,,0.18,9.18
2017-09-02,62,18.0,,0.18,11.16
2017-09-03,38,16.0,False,0.16,6.08
2017-09-04,58,16.0,,0.16,9.28
2017-09-05,65,16.0,,0.16,10.4
2017-09-06,47,16.0,,0.16,7.5200000000000005
2017-09-07,47,16.0,,0.16,7.5200000000000005
2017-09-08,51,16.0,,0.16,8.16
2017-09-09,27,16.0,,0.16,4.32
2017-09-10,50,19.0,False,0.19,9.5
2017-09-11,41,19.0,,0.19,7.79
2017-09-12,58,19.0,,0.19,11.02
2017-09-13,74,19.0,,0.19,14.06
2017-09-14,87,19.0,,0.19,16.53
2017-09-15,100,19.0,,0.19,19.0
2017-09-16,57,19.0,,0.19,10.83
2017-09-17,54,13.0,False,0.13,7.0200000000000005
2017-09-18,66,13.0,,0.13,8.58
2017-09-19,48,13.0,,0.13,6.24
2017-09-20,41,13.0,,0.13,5.33
2017-09-21,48,13.0,,0.13,6.24
2017-09-22,45,13.0,,0.13,5.8500000000000005
2017-09-23,33,13.0,,0.13,4.29
2017-09-24,32,11.0,False,0.11,3.52
2017-09-25,47,11.0,,0.11,5.17
2017-09-26,44,11.0,,0.11,4.84
2017-09-27,47,11.0,,0.11,5.17
2017-09-28,34,11.0,,0.11,3.74
2017-09-29,42,11.0,,0.11,4.62
2017-09-30,22,11.0,,0.11,2.42
2017-10-01,23,9.0,False,0.09,2.07
2017-10-02,52,9.0,,0.09,4.68
2017-10-03,49,9.0,,0.09,4.41
2017-10-04,47,9.0,,0.09,4.2299999999999995
2017-10-05,36,9.0,,0.09,3.2399999999999998
2017-10-06,30,9.0,,0.09,2.6999999999999997
2017-10-07,33,9.0,,0.09,2.9699999999999998
2017-10-08,42,18.0,False,0.18,7.56
2017-10-09,48,18.0,,0.18,8.64
2017-10-10,53,18.0,,0.18,9.54
2017-10-11,31,18.0,,0.18,5.58
2017-10-12,86,18.0,,0.18,15.479999999999999
2017-10-13,100,18.0,,0.18,18.0
2017-10-14,62,18.0,,0.18,11.16
2017-10-15,51,19.0,False,0.19,9.69
2017-10-16,75,19.0,,0.19,14.25
2017-10-17,48,19.0,,0.19,9.120000000000001
2017-10-18,84,19.0,,0.19,15.96
2017-10-19,76,19.0,,0.19,14.44
2017-10-20,60,19.0,,0.19,11.4
2017-10-21,73,19.0,,0.19,13.870000000000001
2017-10-22,61,16.0,False,0.16,9.76
2017-10-23,54,16.0,,0.16,8.64
2017-10-24,73,16.0,,0.16,11.68
2017-10-25,72,16.0,,0.16,11.52
2017-10-26,65,16.0,,0.16,10.4
2017-10-27,47,16.0,,0.16,7.5200000000000005
2017-10-28,54,16.0,,0.16,8.64
2017-10-29,52,26.0,False,0.26,13.52
2017-10-30,68,26.0,,0.26,17.68
2017-10-31,100,26.0,,0.26,26.0
2017-11-01,28,26.0,,0.26,7.28
2017-11-02,46,26.0,,0.26,11.96
2017-11-03,39,26.0,,0.26,10.14
2017-11-04,27,26.0,,0.26,7.0200000000000005
2017-11-05,28,25.0,False,0.25,7.0
2017-11-06,25,25.0,,0.25,6.25
