date,bitcoin wallet_unscaled,bitcoin wallet_monthly,isPartial,scale,bitcoin wallet
2017-08-01,74,,,,
2017-08-02,100,,,,
2017-08-03,71,,,,
2017-08-04,62,,,,
2017-08-05,56,,,,
2017-08-06,59,24.0,False,0.24,14.16
2017-08-07,60,24.0,,0.24,14.399999999999999
2017-08-08,50,24.0,,0.24,12.0
2017-08-09,53,24.0,,0.24,12.719999999999999
2017-08-10,55,24.0,,0.24,13.2
2017-08-11,64,24.0,,0.24,15.36
2017-08-12,65,24.0,,0.24,15.6
2017-08-13,69,28.0,False,0.28,19.32
2017-08-14,75,28.0,,0.28,21.000000000000004
2017-08-15,83,28.0,,0.28,23.240000000000002
2017-08-16,56,28.0,,0.28,15.680000000000001
2017-08-17,59,28.0,,0.28,16.520000000000003
2017-08-18,78,28.0,,0.28,21.840000000000003
2017-08-19,79,28.0,,0.28,22.12
2017-08-20,88,24.0,False,0.24,21.119999999999997
2017-08-21,68,24.0,,0.24,16.32
2017-08-22,55,24.0,,0.24,13.2
2017-08-23,53,24.0,,0.24,12.719999999999999
2017-08-24,44,24.0,,0.24,10.559999999999999
2017-08-25,57,24.0,,0.24,13.68
2017-08-26,41,24.0,,0.24,9.84
2017-08-27,44,25.0,False,0.25,11.0
2017-08-28,63,25.0,,0.25,15.75
2017-08-29,60,25.0,,0.25,15.0
2017-08-30,68,25.0,,0.25,17.0
2017-08-31,82,25.0,,0.25,20.5
2017-09-01,75,25.0,,0.25,18.75
2017-09-02,100,25.0,,0.25,25.0
2017-09-03,86,20.0,False,0.2,17.2
2017-09-04,60,20.0,,0.2,12.0
2017-09-05,53,20.0,,0.2,10.600000000000001
2017-09-06,71,20.0,,0.2,14.200000000000001
2017-09-07,82,20.0,,0.2,16.400000000000002
2017-09-08,88,20.0,,0.2,17.6
2017-09-09,64,20.0,,0.2,12.8
2017-09-10,63,21.0,False,0.21,13.229999999999999
2017-09-11,47,21.0,,0.21,9.87
2017-09-12,65,21.0,,0.21,13.65
2017-09-13,77,21.0,,0.21,16.169999999999998
2017-09-14,78,21.0,,0.21,16.38
2017-09-15,91,21.0,,0.21,19.11
2017-09-16,66,21.0,,0.21,13.86
2017-09-17,56,14.0,False,0.14,7.840000000000001
2017-09-18,31,14.0,,0.14,4.340000000000001
2017-09-19,46,14.0,,0.14,6.44
2017-09-20,57,14.0,,0.14,7.98
2017-09-21,62,14.0,,0.14,8.680000000000001
2017-09-22,54,14.0,,0.14,7.5600000000000005
2017-09-23,57,14.0,,0.14,7.98
2017-09-24,34,15.0,False,0.15,5.1
2017-09-25,59,15.0,,0.15,8.85
2017-09-26,47,15.0,,0.15,7.05
2017-09-27,47,15.0,,0.15,7.05
2017-09-28,35,15.0,,0.15,5.25
2017-09-29,45,15.0,,0.15,6.75
2017-09-30,60,15.0,,0.15,9.0
2017-10-01,33,17.0,False,0.17,5.61
2017-10-02,40,17.0,,0.17,6.800000000000001
2017-10-03,47,17.0,,0.17,7.99
2017-10-04,34,17.0,,0.17,5.78
2017-10-05,33,17.0,,0.17,5.61
2017-10-06,47,17.0,,0.17,7.99
