date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2017-08-01,88,,,,
2017-08-02,77,,,,
2017-08-03,57,,,,
2017-08-04,53,,,,
2017-08-05,64,,,,
2017-08-06,52,15.0,False,0.15,7.8
2017-08-07,65,15.0,,0.15,9.75
2017-08-08,63,15.0,,0.15,9.45
2017-08-09,60,15.0,,0.15,9.0
2017-08-10,59,15.0,,0.15,8.85
2017-08-11,59,15.0,,0.15,8.85
2017-08-12,75,15.0,,0.15,11.25
2017-08-13,85,20.0,False,0.2,17.0
2017-08-14,100,20.0,,0.2,20.0
2017-08-15,99,20.0,,0.2,19.8
2017-08-16,84,20.0,,0.2,16.8
2017-08-17,82,20.0,,0.2,16.400000000000002
2017-08-18,82,20.0,,0.2,16.400000000000002
2017-08-19,73,20.0,,0.2,14.600000000000001
2017-08-20,64,16.0,False,0.16,10.24
2017-08-21,69,16.0,,0.16,11.040000000000001
2017-08-22,78,16.0,,0.16,12.48
2017-08-23,68,16.0,,0.16,10.88
2017-08-24,68,16.0,,0.16,10.88
2017-08-25,72,16.0,,0.16,11.52
2017-08-26,60,16.0,,0.16,9.6
2017-08-27,56,18.0,False,0.18,10.08
2017-08-28,60,18.0,,0.18,10.799999999999999
2017-08-29,72,18.0,,0.18,12.959999999999999
2017-08-30,73,18.0,,0.18,13.139999999999999
2017-08-31,83,18.0,,0.18,14.94
2017-09-01,70,18.0,,0.18,12.6
2017-09-02,64,18.0,,0.18,11.52
2017-09-03,56,19.0,False,0.19,10.64
2017-09-04,69,19.0,,0.19,13.11
2017-09-05,69,19.0,,0.19,13.11
2017-09-06,61,19.0,,0.19,11.59
2017-09-07,57,19.0,,0.19,10.83
2017-09-08,54,19.0,,0.19,10.26
2017-09-09,50,19.0,,0.19,9.5
2017-09-10,49,22.0,False,0.22,10.78
2017-09-11,56,22.0,,0.22,12.32
2017-09-12,55,22.0,,0.22,12.1
2017-09-13,70,22.0,,0.22,15.4
2017-09-14,85,22.0,,0.22,18.7
2017-09-15,100,22.0,,0.22,22.0
2017-09-16,65,22.0,,0.22,14.3
2017-09-17,55,16.0,False,0.16,8.8
2017-09-18,63,16.0,,0.16,10.08
2017-09-19,59,16.0,,0.16,9.44
2017-09-20,51,16.0,,0.16,8.16
2017-09-21,52,16.0,,0.16,8.32
2017-09-22,47,16.0,,0.16,7.5200000000000005
2017-09-23,39,16.0,,0.16,6.24
2017-09-24,35,13.0,False,0.13,4.55
2017-09-25,45,13.0,,0.13,5.8500000000000005
2017-09-26,40,13.0,,0.13,5.2
2017-09-27,45,13.0,,0.13,5.8500000000000005
2017-09-28,45,13.0,,0.13,5.8500000000000005
2017-09-29,46,13.0,,0.13,5.98
2017-09-30,39,13.0,,0.13,5.07
2017-10-01,42,13.0,False,0.13,5.46
2017-10-02,47,13.0,,0.13,6.11
2017-10-03,44,13.0,,0.13,5.720000000000001
2017-10-04,42,13.0,,0.13,5.46
2017-10-05,46,13.0,,0.13,5.98
2017-10-06,42,13.0,,0.13,5.46
2017-10-07,36,13.0,,0.13,4.68
2017-10-08,41,19.0,False,0.19,7.79
2017-10-09,52,19.0,,0.19,9.88
2017-10-10,53,19.0,,0.19,10.07
2017-10-11,52,19.0,,0.19,9.88
2017-10-12,81,19.0,,0.19,15.39
2017-10-13,100,19.0,,0.19,19.0
2017-10-14,69,19.0,,0.19,13.11
2017-10-15,64,20.0,False,0.2,12.8
2017-10-16,66,20.0,,0.2,13.200000000000001
2017-10-17,65,20.0,,0.2,13.0
2017-10-18,67,20.0,,0.2,13.4
2017-10-19,66,20.0,,0.2,13.200000000000001
2017-10-20,71,20.0,,0.2,14.200000000000001
2017-10-21,82,20.0,,0.2,16.400000000000002
2017-10-22,69,22.0,False,0.22,15.18
2017-10-23,80,22.0,,0.22,17.6
2017-10-24,87,22.0,,0.22,19.14
2017-10-25,77,22.0,,0.22,16.94
2017-10-26,75,22.0,,0.22,16.5
2017-10-27,64,22.0,,0.22,14.08
2017-10-28,53,22.0,,0.22,11.66
2017-10-29,59,29.0,False,0.29,17.11
2017-10-30,71,29.0,,0.29,20.59
2017-10-31,82,29.0,,0.29,23.779999999999998
2017-11-01,31,29.0,,0.29,8.99
2017-11-02,38,29.0,,0.29,11.02
2017-11-03,37,29.0,,0.29,10.729999999999999
2017-11-04,28,29.0,,0.29,8.12
2017-11-05,28,30.0,False,0.3,8.4
2017-11-06,30,30.0,,0.3,9.0
2017-11-07,28,30.0,,0.3,8.4
2017-11-08,30,30.0,,0.3,9.0
2017-11-09,29,30.0,,0.3,8.7
2017-11-10,33,30.0,,0.3,9.9
2017-11-11,31,30.0,,0.3,9.299999999999999
2017-11-12,39,32.0,False,0.32,12.48
2017-11-13,36,32.0,,0.32,11.52
2017-11-14,30,32.0,,0.32,9.6
2017-11-15,29,32.0,,0.32,9.28
2017-11-16,29,32.0,,0.32,9.28
2017-11-17,35,32.0,,0.32,11.200000000000001
2017-11-18,25,32.0,,0.32,8.0
2017-11-19,26,29.0,False,0.29,7.539999999999999
2017-11-20,33,29.0,,0.29,9.569999999999999
2017-11-21,34,29.0,,0.29,9.86
2017-11-22,30,29.0,,0.29,8.7
2017-11-23,27,29.0,,0.29,7.829999999999999
2017-11-24,26,29.0,,0.29,7.539999999999999
2017-11-25,27,29.0,,0.29,7.829999999999999
2017-11-26,40,65.0,False,0.65,26.0
2017-11-27,53,65.0,,0.65,34.45
2017-11-28,64,65.0,,0.65,41.6
2017-11-29,100,65.0,,0.65,65.0
2017-11-30,88,65.0,,0.65,57.2
2017-12-01,39,65.0,,0.65,25.35
2017-12-02,31,65.0,,0.65,20.150000000000002
2017-12-03,31,94.0,False,0.94,29.139999999999997
2017-12-04,36,94.0,,0.94,33.839999999999996
2017-12-05,37,94.0,,0.94,34.78
2017-12-06,50,94.0,,0.94,47.0
2017-12-07,98,94.0,,0.94,92.11999999999999
2017-12-08,89,94.0,,0.94,83.66
2017-12-09,58,94.0,,0.94,54.519999999999996
2017-12-10,57,89.0,False,0.89,50.730000000000004
2017-12-11,69,89.0,,0.89,61.410000000000004
2017-12-12,64,89.0,,0.89,56.96
2017-12-13,56,89.0,,0.89,49.84
2017-12-14,50,89.0,,0.89,44.5
2017-12-15,46,89.0,,0.89,40.94
2017-12-16,45,89.0,,0.89,40.05
2017-12-17,48,100.0,False,1.0,48.0
2017-12-18,51,100.0,,1.0,51.0
2017-12-19,53,100.0,,1.0,53.0
2017-12-20,70,100.0,,1.0,70.0
2017-12-21,53,100.0,,1.0,53.0
2017-12-22,100,100.0,,1.0,100.0
2017-12-23,66,100.0,,1.0,66.0
2017-12-24,49,65.0,False,0.65,31.85
2017-12-25,41,65.0,,0.65,26.650000000000002
2017-12-26,43,65.0,,0.65,27.95
2017-12-27,40,65.0,,0.65,26.0
2017-12-28,41,65.0,,0.65,26.650000000000002
2017-12-29,35,65.0,,0.65,22.75
2017-12-30,35,65.0,,0.65,22.75
2017-12-31,29,50.0,False,0.5,14.5
2018-01-01,50,50.0,,0.5,25.0
2018-01-02,58,50.0,,0.5,29.0
2018-01-03,59,50.0,,0.5,29.5
2018-01-04,57,50.0,,0.5,28.5
2018-01-05,55,50.0,,0.5,27.5
2018-01-06,46,50.0,,0.5,23.0
2018-01-07,46,48.0,False,0.48,22.08
2018-01-08,53,48.0,,0.48,25.439999999999998
2018-01-09,51,48.0,,0.48,24.48
2018-01-10,53,48.0,,0.48,25.439999999999998
2018-01-11,60,48.0,,0.48,28.799999999999997
2018-01-12,50,48.0,,0.48,24.0
2018-01-13,42,48.0,,0.48,20.16
2018-01-14,38,58.0,False,0.58,22.04
2018-01-15,41,58.0,,0.58,23.779999999999998
2018-01-16,76,58.0,,0.58,44.08
2018-01-17,100,58.0,,0.58,57.99999999999999
2018-01-18,74,58.0,,0.58,42.919999999999995
2018-01-19,54,58.0,,0.58,31.319999999999997
2018-01-20,43,58.0,,0.58,24.939999999999998
2018-01-21,40,40.0,False,0.4,16.0
2018-01-22,46,40.0,,0.4,18.400000000000002
2018-01-23,45,40.0,,0.4,18.0
2018-01-24,42,40.0,,0.4,16.8
2018-01-25,40,40.0,,0.4,16.0
2018-01-26,40,40.0,,0.4,16.0
2018-01-27,34,40.0,,0.4,13.600000000000001
2018-01-28,33,42.0,False,0.42,13.86
2018-01-29,35,42.0,,0.42,14.7
2018-01-30,37,42.0,,0.42,15.54
2018-01-31,41,42.0,,0.42,17.22
2018-02-01,59,42.0,,0.42,24.779999999999998
2018-02-02,77,42.0,,0.42,32.339999999999996
2018-02-03,53,42.0,,0.42,22.259999999999998
2018-02-04,45,51.0,False,0.51,22.95
2018-02-05,79,51.0,,0.51,40.29
2018-02-06,100,51.0,,0.51,51.0
2018-02-07,64,51.0,,0.51,32.64
