date,buy bitcoin_unscaled,buy bitcoin_monthly,isPartial,scale,buy bitcoin
2017-08-01,44,,,,
2017-08-02,79,,,,
2017-08-03,39,,,,
2017-08-04,36,,,,
2017-08-05,32,,,,
2017-08-06,44,17.0,False,0.17,7.48
2017-08-07,61,17.0,,0.17,10.370000000000001
2017-08-08,49,17.0,,0.17,8.33
2017-08-09,41,17.0,,0.17,6.970000000000001
2017-08-10,37,17.0,,0.17,6.29
2017-08-11,48,17.0,,0.17,8.16
2017-08-12,66,17.0,,0.17,11.22
2017-08-13,82,24.0,False,0.24,19.68
2017-08-14,100,24.0,,0.24,24.0
2017-08-15,62,24.0,,0.24,14.879999999999999
2017-08-16,53,24.0,,0.24,12.719999999999999
2017-08-17,53,24.0,,0.24,12.719999999999999
2017-08-18,76,24.0,,0.24,18.24
2017-08-19,67,24.0,,0.24,16.08
2017-08-20,65,16.0,False,0.16,10.4
2017-08-21,52,16.0,,0.16,8.32
2017-08-22,52,16.0,,0.16,8.32
2017-08-23,52,16.0,,0.16,8.32
2017-08-24,51,16.0,,0.16,8.16
2017-08-25,58,16.0,,0.16,9.28
2017-08-26,43,16.0,,0.16,6.88
2017-08-27,51,19.0,False,0.19,9.69
2017-08-28,40,19.0,,0.19,7.6
2017-08-29,52,19.0,,0.19,9.88
2017-08-30,62,19.0,,0.19,11.78
2017-08-31,51,19.0,,0.19,9.69
2017-09-01,100,19.0,,0.19,19.0
2017-09-02,93,19.0,,0.19,17.67
2017-09-03,85,16.0,False,0.16,13.6
2017-09-04,84,16.0,,0.16,13.44
2017-09-05,76,16.0,,0.16,12.16
2017-09-06,67,16.0,,0.16,10.72
2017-09-07,76,16.0,,0.16,12.16
2017-09-08,83,16.0,,0.16,13.280000000000001
2017-09-09,72,16.0,,0.16,11.52
2017-09-10,65,16.0,False,0.16,10.4
2017-09-11,64,16.0,,0.16,10.24
2017-09-12,60,16.0,,0.16,9.6
2017-09-13,73,16.0,,0.16,11.68
2017-09-14,72,16.0,,0.16,11.52
2017-09-15,97,16.0,,0.16,15.52
2017-09-16,71,16.0,,0.16,11.36
2017-09-17,54,12.0,False,0.12,6.4799999999999995
2017-09-18,51,12.0,,0.12,6.12
2017-09-19,35,12.0,,0.12,4.2
