date,cryptocurrency_unscaled,cryptocurrency_monthly,isPartial,scale,cryptocurrency
2017-08-01,45,,,,
2017-08-02,59,,,,
2017-08-03,47,,,,
2017-08-04,41,,,,
2017-08-05,40,,,,
2017-08-06,48,13.0,False,0.13,6.24
2017-08-07,55,13.0,,0.13,7.15
2017-08-08,70,13.0,,0.13,9.1
2017-08-09,56,13.0,,0.13,7.28
2017-08-10,71,13.0,,0.13,9.23
2017-08-11,64,13.0,,0.13,8.32
2017-08-12,63,13.0,,0.13,8.19
2017-08-13,81,17.0,False,0.17,13.770000000000001
2017-08-14,100,17.0,,0.17,17.0
2017-08-15,85,17.0,,0.17,14.450000000000001
2017-08-16,67,17.0,,0.17,11.39
2017-08-17,67,17.0,,0.17,11.39
2017-08-18,65,17.0,,0.17,11.05
2017-08-19,60,17.0,,0.17,10.200000000000001
2017-08-20,63,15.0,False,0.15,9.45
2017-08-21,63,15.0,,0.15,9.45
2017-08-22,64,15.0,,0.15,9.6
2017-08-23,73,15.0,,0.15,10.95
2017-08-24,70,15.0,,0.15,10.5
2017-08-25,75,15.0,,0.15,11.25
2017-08-26,54,15.0,,0.15,8.1
2017-08-27,59,19.0,False,0.19,11.21
2017-08-28,72,19.0,,0.19,13.68
2017-08-29,94,19.0,,0.19,17.86
2017-08-30,90,19.0,,0.19,17.1
2017-08-31,99,19.0,,0.19,18.81
2017-09-01,93,19.0,,0.19,17.67
2017-09-02,97,19.0,,0.19,18.43
2017-09-03,75,20.0,False,0.2,15.0
2017-09-04,100,20.0,,0.2,20.0
2017-09-05,86,20.0,,0.2,17.2
2017-09-06,73,20.0,,0.2,14.600000000000001
2017-09-07,67,20.0,,0.2,13.4
2017-09-08,74,20.0,,0.2,14.8
2017-09-09,69,20.0,,0.2,13.8
2017-09-10,64,16.0,False,0.16,10.24
2017-09-11,65,16.0,,0.16,10.4
2017-09-12,63,16.0,,0.16,10.08
2017-09-13,71,16.0,,0.16,11.36
2017-09-14,72,16.0,,0.16,11.52
2017-09-15,91,16.0,,0.16,14.56
2017-09-16,55,16.0,,0.16,8.8
2017-09-17,56,13.0,False,0.13,7.28
2017-09-18,70,13.0,,0.13,9.1
2017-09-19,60,13.0,,0.13,7.800000000000001
2017-09-20,66,13.0,,0.13,8.58
2017-09-21,56,13.0,,0.13,7.28
2017-09-22,51,13.0,,0.13,6.63
2017-09-23,49,13.0,,0.13,6.37
