date,price bitcoin_unscaled,price bitcoin_monthly,isPartial,scale,price bitcoin
2017-08-01,72,,,,
2017-08-02,56,,,,
2017-08-03,43,,,,
2017-08-04,34,,,,
2017-08-05,53,,,,
2017-08-06,38,12.0,False,0.12,4.56
2017-08-07,47,12.0,,0.12,5.64
2017-08-08,47,12.0,,0.12,5.64
2017-08-09,52,12.0,,0.12,6.24
2017-08-10,53,12.0,,0.12,6.359999999999999
2017-08-11,50,12.0,,0.12,6.0
2017-08-12,69,12.0,,0.12,8.28
2017-08-13,80,17.0,False,0.17,13.600000000000001
2017-08-14,100,17.0,,0.17,17.0
2017-08-15,88,17.0,,0.17,14.96
2017-08-16,72,17.0,,0.17,12.24
2017-08-17,74,17.0,,0.17,12.58
2017-08-18,66,17.0,,0.17,11.22
2017-08-19,56,17.0,,0.17,9.520000000000001
2017-08-20,44,12.0,False,0.12,5.279999999999999
2017-08-21,54,12.0,,0.12,6.4799999999999995
2017-08-22,61,12.0,,0.12,7.319999999999999
2017-08-23,57,12.0,,0.12,6.84
2017-08-24,48,12.0,,0.12,5.76
2017-08-25,58,12.0,,0.12,6.96
2017-08-26,39,12.0,,0.12,4.68
2017-08-27,37,13.0,False,0.13,4.8100000000000005
2017-08-28,47,13.0,,0.13,6.11
2017-08-29,57,13.0,,0.13,7.41
2017-08-30,56,13.0,,0.13,7.28
2017-08-31,68,13.0,,0.13,8.84
2017-09-01,52,13.0,,0.13,6.76
2017-09-02,46,13.0,,0.13,5.98
2017-09-03,38,15.0,False,0.15,5.7
2017-09-04,56,15.0,,0.15,8.4
2017-09-05,65,15.0,,0.15,9.75
2017-09-06,45,15.0,,0.15,6.75
2017-09-07,42,15.0,,0.15,6.3
2017-09-08,47,15.0,,0.15,7.05
2017-09-09,31,15.0,,0.15,4.6499999999999995
2017-09-10,39,18.0,False,0.18,7.02
2017-09-11,39,18.0,,0.18,7.02
2017-09-12,35,18.0,,0.18,6.3
2017-09-13,56,18.0,,0.18,10.08
2017-09-14,75,18.0,,0.18,13.5
2017-09-15,100,18.0,,0.18,18.0
2017-09-16,57,18.0,,0.18,10.26
2017-09-17,45,13.0,False,0.13,5.8500000000000005
2017-09-18,53,13.0,,0.13,6.890000000000001
2017-09-19,44,13.0,,0.13,5.720000000000001
2017-09-20,38,13.0,,0.13,4.94
2017-09-21,33,13.0,,0.13,4.29
2017-09-22,35,13.0,,0.13,4.55
2017-09-23,27,13.0,,0.13,3.5100000000000002
2017-09-24,26,10.0,False,0.1,2.6
2017-09-25,33,10.0,,0.1,3.3000000000000003
2017-09-26,29,10.0,,0.1,2.9000000000000004
2017-09-27,37,10.0,,0.1,3.7
2017-09-28,33,10.0,,0.1,3.3000000000000003
2017-09-29,32,10.0,,0.1,3.2
2017-09-30,25,10.0,,0.1,2.5
2017-10-01,33,9.0,False,0.09,2.9699999999999998
2017-10-02,43,9.0,,0.09,3.8699999999999997
2017-10-03,38,9.0,,0.09,3.42
2017-10-04,32,9.0,,0.09,2.88
2017-10-05,36,9.0,,0.09,3.2399999999999998
2017-10-06,32,9.0,,0.09,2.88
2017-10-07,25,9.0,,0.09,2.25
2017-10-08,31,14.0,False,0.14,4.340000000000001
2017-10-09,39,14.0,,0.14,5.460000000000001
2017-10-10,46,14.0,,0.14,6.44
2017-10-11,42,14.0,,0.14,5.880000000000001
2017-10-12,77,14.0,,0.14,10.780000000000001
2017-10-13,100,14.0,,0.14,14.000000000000002
2017-10-14,57,14.0,,0.14,7.98
2017-10-15,56,14.0,False,0.14,7.840000000000001
2017-10-16,56,14.0,,0.14,7.840000000000001
2017-10-17,55,14.0,,0.14,7.700000000000001
2017-10-18,66,14.0,,0.14,9.24
2017-10-19,57,14.0,,0.14,7.98
2017-10-20,62,14.0,,0.14,8.680000000000001
2017-10-21,73,14.0,,0.14,10.22
2017-10-22,58,16.0,False,0.16,9.28
2017-10-23,63,16.0,,0.16,10.08
2017-10-24,71,16.0,,0.16,11.36
2017-10-25,75,16.0,,0.16,12.0
2017-10-26,65,16.0,,0.16,10.4
2017-10-27,59,16.0,,0.16,9.44
2017-10-28,49,16.0,,0.16,7.84
2017-10-29,50,25.0,False,0.25,12.5
2017-10-30,66,25.0,,0.25,16.5
2017-10-31,81,25.0,,0.25,20.25
2017-11-01,27,25.0,,0.25,6.75
2017-11-02,34,25.0,,0.25,8.5
2017-11-03,31,25.0,,0.25,7.75
2017-11-04,24,25.0,,0.25,6.0
2017-11-05,22,26.0,False,0.26,5.720000000000001
2017-11-06,25,26.0,,0.26,6.5
2017-11-07,23,26.0,,0.26,5.98
2017-11-08,27,26.0,,0.26,7.0200000000000005
2017-11-09,26,26.0,,0.26,6.76
2017-11-10,31,26.0,,0.26,8.06
2017-11-11,27,26.0,,0.26,7.0200000000000005
2017-11-12,34,27.0,False,0.27,9.18
2017-11-13,35,27.0,,0.27,9.450000000000001
2017-11-14,28,27.0,,0.27,7.5600000000000005
2017-11-15,26,27.0,,0.27,7.0200000000000005
2017-11-16,29,27.0,,0.27,7.83
2017-11-17,29,27.0,,0.27,7.83
2017-11-18,22,27.0,,0.27,5.94
2017-11-19,21,23.0,False,0.23,4.83
2017-11-20,28,23.0,,0.23,6.44
2017-11-21,30,23.0,,0.23,6.9
2017-11-22,26,23.0,,0.23,5.98
2017-11-23,22,23.0,,0.23,5.0600000000000005
