date,sell bitcoin_unscaled,sell bitcoin_monthly,isPartial,scale,sell bitcoin
2017-08-01,41,,,,
2017-08-02,71,,,,
2017-08-03,25,,,,
2017-08-04,9,,,,
2017-08-05,29,,,,
2017-08-06,77,13.0,False,0.13,10.01
2017-08-07,16,13.0,,0.13,2.08
2017-08-08,55,13.0,,0.13,7.15
2017-08-09,66,13.0,,0.13,8.58
2017-08-10,42,13.0,,0.13,5.46
2017-08-11,26,13.0,,0.13,3.38
2017-08-12,48,13.0,,0.13,6.24
2017-08-13,77,18.0,False,0.18,13.86
2017-08-14,68,18.0,,0.18,12.24
2017-08-15,60,18.0,,0.18,10.799999999999999
2017-08-16,100,18.0,,0.18,18.0
2017-08-17,58,18.0,,0.18,10.44
2017-08-18,34,18.0,,0.18,6.12
2017-08-19,76,18.0,,0.18,13.68
2017-08-20,84,13.0,False,0.13,10.92
2017-08-21,56,13.0,,0.13,7.28
2017-08-22,41,13.0,,0.13,5.33
2017-08-23,25,13.0,,0.13,3.25
2017-08-24,58,13.0,,0.13,7.54
2017-08-25,35,13.0,,0.13,4.55
2017-08-26,19,13.0,,0.13,2.47
2017-08-27,46,13.0,False,0.13,5.98
2017-08-28,50,13.0,,0.13,6.5
2017-08-29,32,13.0,,0.13,4.16
2017-08-30,25,13.0,,0.13,3.25
2017-08-31,66,13.0,,0.13,8.58
2017-09-01,51,13.0,,0.13,6.63
2017-09-02,38,13.0,,0.13,4.94
2017-09-03,64,14.0,False,0.14,8.96
2017-09-04,100,14.0,,0.14,14.000000000000002
2017-09-05,48,14.0,,0.14,6.720000000000001
2017-09-06,55,14.0,,0.14,7.700000000000001
2017-09-07,49,14.0,,0.14,6.86
2017-09-08,33,14.0,,0.14,4.62
2017-09-09,82,14.0,,0.14,11.48
2017-09-10,45,17.0,False,0.17,7.65
2017-09-11,31,17.0,,0.17,5.2700000000000005
2017-09-12,47,17.0,,0.17,7.99
2017-09-13,39,17.0,,0.17,6.630000000000001
2017-09-14,56,17.0,,0.17,9.520000000000001
2017-09-15,25,17.0,,0.17,4.25
2017-09-16,83,17.0,,0.17,14.110000000000001
2017-09-17,81,8.0,False,0.08,6.48
2017-09-18,32,8.0,,0.08,2.56
2017-09-19,31,8.0,,0.08,2.48
2017-09-20,24,8.0,,0.08,1.92
2017-09-21,0,8.0,,0.08,0.0
2017-09-22,33,8.0,,0.08,2.64
2017-09-23,37,8.0,,0.08,2.96
2017-09-24,36,8.0,False,0.08,2.88
2017-09-25,40,8.0,,0.08,3.2
2017-09-26,31,8.0,,0.08,2.48
2017-09-27,24,8.0,,0.08,1.92
2017-09-28,56,8.0,,0.08,4.48
2017-09-29,25,8.0,,0.08,2.0
2017-09-30,0,8.0,,0.08,0.0
2017-10-01,21,9.0,False,0.09,1.89
2017-10-02,30,9.0,,0.09,2.6999999999999997
2017-10-03,49,9.0,,0.09,4.41
2017-10-04,18,9.0,,0.09,1.6199999999999999
2017-10-05,24,9.0,,0.09,2.16
2017-10-06,31,9.0,,0.09,2.79
2017-10-07,28,9.0,,0.09,2.52
2017-10-08,48,16.0,False,0.16,7.68
2017-10-09,42,16.0,,0.16,6.72
2017-10-10,41,16.0,,0.16,6.5600000000000005
2017-10-11,18,16.0,,0.16,2.88
2017-10-12,62,16.0,,0.16,9.92
2017-10-13,100,16.0,,0.16,16.0
2017-10-14,14,16.0,,0.16,2.24
2017-10-15,54,17.0,False,0.17,9.180000000000001
2017-10-16,47,17.0,,0.17,7.99
2017-10-17,35,17.0,,0.17,5.95
2017-10-18,42,17.0,,0.17,7.140000000000001
2017-10-19,49,17.0,,0.17,8.33
2017-10-20,44,17.0,,0.17,7.48
2017-10-21,41,17.0,,0.17,6.970000000000001
2017-10-22,53,21.0,False,0.21,11.129999999999999
2017-10-23,47,21.0,,0.21,9.87
2017-10-24,65,21.0,,0.21,13.65
2017-10-25,59,21.0,,0.21,12.389999999999999
2017-10-26,24,21.0,,0.21,5.04
2017-10-27,25,21.0,,0.21,5.25
2017-10-28,34,21.0,,0.21,7.14
2017-10-29,47,26.0,False,0.26,12.22
2017-10-30,65,26.0,,0.26,16.900000000000002
2017-10-31,48,26.0,,0.26,12.48
2017-11-01,21,26.0,,0.26,5.46
