date,what is bitcoin_unscaled,what is bitcoin_monthly,isPartial,scale,what is bitcoin
2017-08-01,80,,,,
2017-08-02,83,,,,
2017-08-03,70,,,,
2017-08-04,44,,,,
2017-08-05,49,,,,
2017-08-06,33,12.0,False,0.12,3.96
2017-08-07,73,12.0,,0.12,8.76
2017-08-08,69,12.0,,0.12,8.28
2017-08-09,75,12.0,,0.12,9.0
2017-08-10,51,12.0,,0.12,6.12
2017-08-11,52,12.0,,0.12,6.24
2017-08-12,35,12.0,,0.12,4.2
2017-08-13,87,17.0,False,0.17,14.790000000000001
2017-08-14,89,17.0,,0.17,15.13
2017-08-15,86,17.0,,0.17,14.620000000000001
2017-08-16,93,17.0,,0.17,15.81
2017-08-17,73,17.0,,0.17,12.41
2017-08-18,70,17.0,,0.17,11.9
2017-08-19,67,17.0,,0.17,11.39
2017-08-20,66,15.0,False,0.15,9.9
2017-08-21,62,15.0,,0.15,9.299999999999999
2017-08-22,100,15.0,,0.15,15.0
2017-08-23,47,15.0,,0.15,7.05
2017-08-24,53,15.0,,0.15,7.949999999999999
2017-08-25,68,15.0,,0.15,10.2
2017-08-26,58,15.0,,0.15,8.7
2017-08-27,47,16.0,False,0.16,7.5200000000000005
2017-08-28,31,16.0,,0.16,4.96
2017-08-29,55,16.0,,0.16,8.8
2017-08-30,55,16.0,,0.16,8.8
2017-08-31,97,16.0,,0.16,15.52
2017-09-01,100,16.0,,0.16,16.0
2017-09-02,72,16.0,,0.16,11.52
2017-09-03,77,16.0,False,0.16,12.32
2017-09-04,67,16.0,,0.16,10.72
2017-09-05,79,16.0,,0.16,12.64
2017-09-06,72,16.0,,0.16,11.52
2017-09-07,98,16.0,,0.16,15.68
2017-09-08,58,16.0,,0.16,9.28
2017-09-09,97,16.0,,0.16,15.52
2017-09-10,82,14.0,False,0.14,11.48
2017-09-11,54,14.0,,0.14,7.5600000000000005
2017-09-12,43,14.0,,0.14,6.0200000000000005
2017-09-13,81,14.0,,0.14,11.340000000000002
2017-09-14,93,14.0,,0.14,13.020000000000001
2017-09-15,98,14.0,,0.14,13.72
2017-09-16,54,14.0,,0.14,7.5600000000000005
2017-09-17,63,13.0,False,0.13,8.19
2017-09-18,84,13.0,,0.13,10.92
2017-09-19,68,13.0,,0.13,8.84
2017-09-20,55,13.0,,0.13,7.15
2017-09-21,64,13.0,,0.13,8.32
2017-09-22,52,13.0,,0.13,6.76
2017-09-23,50,13.0,,0.13,6.5
2017-09-24,49,12.0,False,0.12,5.88
2017-09-25,43,12.0,,0.12,5.16
2017-09-26,52,12.0,,0.12,6.24
2017-09-27,84,12.0,,0.12,10.08
2017-09-28,71,12.0,,0.12,8.52
2017-09-29,46,12.0,,0.12,5.52
2017-09-30,47,12.0,,0.12,5.64
2017-10-01,28,9.0,False,0.09,2.52
2017-10-02,51,9.0,,0.09,4.59
2017-10-03,44,9.0,,0.09,3.96
2017-10-04,29,9.0,,0.09,2.61
2017-10-05,49,9.0,,0.09,4.41
2017-10-06,33,9.0,,0.09,2.9699999999999998
2017-10-07,56,9.0,,0.09,5.04
2017-10-08,66,16.0,False,0.16,10.56
2017-10-09,53,16.0,,0.16,8.48
2017-10-10,38,16.0,,0.16,6.08
2017-10-11,67,16.0,,0.16,10.72
2017-10-12,84,16.0,,0.16,13.44
2017-10-13,98,16.0,,0.16,15.68
2017-10-14,81,16.0,,0.16,12.96
2017-10-15,57,18.0,False,0.18,10.26
2017-10-16,89,18.0,,0.18,16.02
2017-10-17,64,18.0,,0.18,11.52
2017-10-18,70,18.0,,0.18,12.6
2017-10-19,47,18.0,,0.18,8.459999999999999
2017-10-20,74,18.0,,0.18,13.32
2017-10-21,92,18.0,,0.18,16.56
2017-10-22,83,19.0,False,0.19,15.77
2017-10-23,85,19.0,,0.19,16.15
2017-10-24,93,19.0,,0.19,17.67
2017-10-25,83,19.0,,0.19,15.77
2017-10-26,82,19.0,,0.19,15.58
2017-10-27,53,19.0,,0.19,10.07
2017-10-28,100,19.0,,0.19,19.0
2017-10-29,57,25.0,False,0.25,14.25
2017-10-30,95,25.0,,0.25,23.75
2017-10-31,76,25.0,,0.25,19.0
2017-11-01,22,25.0,,0.25,5.5
2017-11-02,30,25.0,,0.25,7.5
2017-11-03,36,25.0,,0.25,9.0
2017-11-04,18,25.0,,0.25,4.5
2017-11-05,20,25.0,False,0.25,5.0
2017-11-06,21,25.0,,0.25,5.25
2017-11-07,23,25.0,,0.25,5.75
2017-11-08,17,25.0,,0.25,4.25
