date,bitcoin news_unscaled,bitcoin news_monthly,isPartial,scale,bitcoin news
2017-08-01,100,,,,
2017-08-02,47,,,,
2017-08-03,33,,,,
2017-08-04,29,,,,
2017-08-05,44,,,,
2017-08-06,46,12.0,False,0.12,5.52
2017-08-07,63,12.0,,0.12,7.56
2017-08-08,36,12.0,,0.12,4.32
2017-08-09,21,12.0,,0.12,2.52
2017-08-10,36,12.0,,0.12,4.32
2017-08-11,17,12.0,,0.12,2.04
2017-08-12,38,12.0,,0.12,4.56
2017-08-13,51,16.0,False,0.16,8.16
2017-08-14,38,16.0,,0.16,6.08
2017-08-15,96,16.0,,0.16,15.36
2017-08-16,35,16.0,,0.16,5.6000000000000005
2017-08-17,33,16.0,,0.16,5.28
2017-08-18,46,16.0,,0.16,7.36
2017-08-19,21,16.0,,0.16,3.36
2017-08-20,16,10.0,False,0.1,1.6
2017-08-21,41,10.0,,0.1,4.1000000000000005
2017-08-22,39,10.0,,0.1,3.9000000000000004
2017-08-23,44,10.0,,0.1,4.4
2017-08-24,21,10.0,,0.1,2.1
2017-08-25,44,10.0,,0.1,4.4
2017-08-26,24,10.0,,0.1,2.4000000000000004
2017-08-27,21,14.0,False,0.14,2.9400000000000004
2017-08-28,28,14.0,,0.14,3.9200000000000004
2017-08-29,60,14.0,,0.14,8.4
2017-08-30,51,14.0,,0.14,7.140000000000001
2017-08-31,35,14.0,,0.14,4.9
2017-09-01,43,14.0,,0.14,6.0200000000000005
2017-09-02,43,14.0,,0.14,6.0200000000000005
2017-09-03,8,16.0,False,0.16,1.28
2017-09-04,34,16.0,,0.16,5.44
2017-09-05,37,16.0,,0.16,5.92
2017-09-06,36,16.0,,0.16,5.76
2017-09-07,15,16.0,,0.16,2.4
2017-09-08,53,16.0,,0.16,8.48
2017-09-09,42,16.0,,0.16,6.72
2017-09-10,41,31.0,False,0.31,12.709999999999999
2017-09-11,47,31.0,,0.31,14.57
2017-09-12,27,31.0,,0.31,8.37
2017-09-13,71,31.0,,0.31,22.01
2017-09-14,68,31.0,,0.31,21.08
2017-09-15,100,31.0,,0.31,31.0
2017-09-16,72,31.0,,0.31,22.32
2017-09-17,50,17.0,False,0.17,8.5
2017-09-18,31,17.0,,0.17,5.2700000000000005
2017-09-19,47,17.0,,0.17,7.99
2017-09-20,38,17.0,,0.17,6.460000000000001
2017-09-21,37,17.0,,0.17,6.29
2017-09-22,44,17.0,,0.17,7.48
2017-09-23,21,17.0,,0.17,3.5700000000000003
2017-09-24,35,14.0,False,0.14,4.9
2017-09-25,36,14.0,,0.14,5.040000000000001
2017-09-26,40,14.0,,0.14,5.6000000000000005
2017-09-27,27,14.0,,0.14,3.7800000000000002
2017-09-28,30,14.0,,0.14,4.2
2017-09-29,50,14.0,,0.14,7.000000000000001
2017-09-30,49,14.0,,0.14,6.86
2017-10-01,47,13.0,False,0.13,6.11
2017-10-02,75,13.0,,0.13,9.75
2017-10-03,55,13.0,,0.13,7.15
2017-10-04,41,13.0,,0.13,5.33
2017-10-05,45,13.0,,0.13,5.8500000000000005
2017-10-06,53,13.0,,0.13,6.890000000000001
2017-10-07,47,13.0,,0.13,6.11
2017-10-08,47,17.0,False,0.17,7.99
2017-10-09,68,17.0,,0.17,11.56
2017-10-10,63,17.0,,0.17,10.71
2017-10-11,54,17.0,,0.17,9.180000000000001
2017-10-12,87,17.0,,0.17,14.790000000000001
2017-10-13,96,17.0,,0.17,16.32
2017-10-14,51,17.0,,0.17,8.67
2017-10-15,69,20.0,False,0.2,13.8
