date,bitcoin price usd_unscaled,bitcoin price usd_monthly,isPartial,scale,bitcoin price usd
2017-08-01,50,,,,
2017-08-02,35,,,,
2017-08-03,29,,,,
2017-08-04,25,,,,
2017-08-05,31,,,,
2017-08-06,22,6.0,False,0.06,1.3199999999999998
2017-08-07,36,6.0,,0.06,2.16
2017-08-08,53,6.0,,0.06,3.1799999999999997
2017-08-09,39,6.0,,0.06,2.34
2017-08-10,43,6.0,,0.06,2.58
2017-08-11,50,6.0,,0.06,3.0
2017-08-12,55,6.0,,0.06,3.3
2017-08-13,92,10.0,False,0.1,9.200000000000001
2017-08-14,100,10.0,,0.1,10.0
2017-08-15,65,10.0,,0.1,6.5
2017-08-16,67,10.0,,0.1,6.7
2017-08-17,99,10.0,,0.1,9.9
2017-08-18,66,10.0,,0.1,6.6000000000000005
2017-08-19,73,10.0,,0.1,7.300000000000001
2017-08-20,36,6.0,False,0.06,2.16
2017-08-21,25,6.0,,0.06,1.5
2017-08-22,60,6.0,,0.06,3.5999999999999996
2017-08-23,55,6.0,,0.06,3.3
2017-08-24,61,6.0,,0.06,3.6599999999999997
2017-08-25,33,6.0,,0.06,1.98
2017-08-26,43,6.0,,0.06,2.58
2017-08-27,24,6.0,False,0.06,1.44
2017-08-28,45,6.0,,0.06,2.6999999999999997
2017-08-29,65,6.0,,0.06,3.9
2017-08-30,31,6.0,,0.06,1.8599999999999999
2017-08-31,66,6.0,,0.06,3.96
2017-09-01,38,6.0,,0.06,2.28
2017-09-02,44,6.0,,0.06,2.6399999999999997
2017-09-03,27,8.0,False,0.08,2.16
2017-09-04,39,8.0,,0.08,3.12
2017-09-05,75,8.0,,0.08,6.0
2017-09-06,17,8.0,,0.08,1.36
2017-09-07,36,8.0,,0.08,2.88
2017-09-08,39,8.0,,0.08,3.12
2017-09-09,25,8.0,,0.08,2.0
2017-09-10,36,11.0,False,0.11,3.96
2017-09-11,47,11.0,,0.11,5.17
2017-09-12,20,11.0,,0.11,2.2
2017-09-13,52,11.0,,0.11,5.72
2017-09-14,61,11.0,,0.11,6.71
2017-09-15,100,11.0,,0.11,11.0
2017-09-16,63,11.0,,0.11,6.93
2017-09-17,40,9.0,False,0.09,3.5999999999999996
2017-09-18,41,9.0,,0.09,3.69
2017-09-19,55,9.0,,0.09,4.95
2017-09-20,41,9.0,,0.09,3.69
2017-09-21,34,9.0,,0.09,3.06
2017-09-22,46,9.0,,0.09,4.14
2017-09-23,19,9.0,,0.09,1.71
2017-09-24,19,6.0,False,0.06,1.14
2017-09-25,22,6.0,,0.06,1.3199999999999998
2017-09-26,17,6.0,,0.06,1.02
2017-09-27,32,6.0,,0.06,1.92
2017-09-28,38,6.0,,0.06,2.28
2017-09-29,27,6.0,,0.06,1.6199999999999999
2017-09-30,24,6.0,,0.06,1.44
2017-10-01,27,5.0,False,0.05,1.35
2017-10-02,40,5.0,,0.05,2.0
2017-10-03,31,5.0,,0.05,1.55
2017-10-04,33,5.0,,0.05,1.6500000000000001
2017-10-05,45,5.0,,0.05,2.25
2017-10-06,22,5.0,,0.05,1.1
2017-10-07,22,5.0,,0.05,1.1
2017-10-08,24,9.0,False,0.09,2.16
