date,btc_unscaled,btc_monthly,isPartial,scale,btc
2017-08-01,72,,,,
2017-08-02,72,,,,
2017-08-03,53,,,,
2017-08-04,49,,,,
2017-08-05,69,,,,
2017-08-06,53,4.0,False,0.04,2.12
2017-08-07,67,4.0,,0.04,2.68
2017-08-08,65,4.0,,0.04,2.6
2017-08-09,62,4.0,,0.04,2.48
2017-08-10,57,4.0,,0.04,2.2800000000000002
2017-08-11,57,4.0,,0.04,2.2800000000000002
2017-08-12,67,4.0,,0.04,2.68
2017-08-13,76,5.0,False,0.05,3.8000000000000003
2017-08-14,84,5.0,,0.05,4.2
2017-08-15,81,5.0,,0.05,4.05
2017-08-16,70,5.0,,0.05,3.5
2017-08-17,73,5.0,,0.05,3.6500000000000004
2017-08-18,60,5.0,,0.05,3.0
2017-08-19,67,5.0,,0.05,3.35
2017-08-20,49,4.0,False,0.04,1.96
2017-08-21,68,4.0,,0.04,2.72
2017-08-22,68,4.0,,0.04,2.72
2017-08-23,62,4.0,,0.04,2.48
2017-08-24,73,4.0,,0.04,2.92
2017-08-25,68,4.0,,0.04,2.72
2017-08-26,71,4.0,,0.04,2.84
2017-08-27,62,6.0,False,0.06,3.7199999999999998
2017-08-28,100,6.0,,0.06,6.0
2017-08-29,91,6.0,,0.06,5.46
2017-08-30,85,6.0,,0.06,5.1
2017-08-31,71,6.0,,0.06,4.26
2017-09-01,76,6.0,,0.06,4.56
2017-09-02,70,6.0,,0.06,4.2
2017-09-03,68,5.0,False,0.05,3.4000000000000004
2017-09-04,73,5.0,,0.05,3.6500000000000004
2017-09-05,81,5.0,,0.05,4.05
2017-09-06,74,5.0,,0.05,3.7
2017-09-07,59,5.0,,0.05,2.95
2017-09-08,66,5.0,,0.05,3.3000000000000003
2017-09-09,60,5.0,,0.05,3.0
2017-09-10,56,5.0,False,0.05,2.8000000000000003
2017-09-11,61,5.0,,0.05,3.0500000000000003
2017-09-12,60,5.0,,0.05,3.0
2017-09-13,64,5.0,,0.05,3.2
2017-09-14,85,5.0,,0.05,4.25
2017-09-15,100,5.0,,0.05,5.0
2017-09-16,77,5.0,,0.05,3.85
2017-09-17,60,4.0,False,0.04,2.4
2017-09-18,65,4.0,,0.04,2.6
2017-09-19,64,4.0,,0.04,2.56
2017-09-20,56,4.0,,0.04,2.24
2017-09-21,58,4.0,,0.04,2.32
