date,coinbase_unscaled,coinbase_monthly,isPartial,scale,coinbase
2017-08-01,61,,,,
2017-08-02,59,,,,
2017-08-03,47,,,,
2017-08-04,39,,,,
2017-08-05,73,,,,
2017-08-06,48,5.0,False,0.05,2.4000000000000004
2017-08-07,65,5.0,,0.05,3.25
2017-08-08,52,5.0,,0.05,2.6
2017-08-09,64,5.0,,0.05,3.2
2017-08-10,63,5.0,,0.05,3.1500000000000004
2017-08-11,84,5.0,,0.05,4.2
2017-08-12,56,5.0,,0.05,2.8000000000000003
2017-08-13,91,6.0,False,0.06,5.46
2017-08-14,85,6.0,,0.06,5.1
2017-08-15,100,6.0,,0.06,6.0
2017-08-16,70,6.0,,0.06,4.2
2017-08-17,68,6.0,,0.06,4.08
2017-08-18,70,6.0,,0.06,4.2
2017-08-19,58,6.0,,0.06,3.48
2017-08-20,60,5.0,False,0.05,3.0
2017-08-21,75,5.0,,0.05,3.75
2017-08-22,72,5.0,,0.05,3.6
2017-08-23,66,5.0,,0.05,3.3000000000000003
2017-08-24,68,5.0,,0.05,3.4000000000000004
2017-08-25,81,5.0,,0.05,4.05
2017-08-26,43,5.0,,0.05,2.15
2017-08-27,61,7.0,False,0.07,4.2700000000000005
2017-08-28,67,7.0,,0.07,4.69
2017-08-29,91,7.0,,0.07,6.370000000000001
2017-08-30,96,7.0,,0.07,6.720000000000001
2017-08-31,95,7.0,,0.07,6.65
2017-09-01,100,7.0,,0.07,7.000000000000001
2017-09-02,64,7.0,,0.07,4.48
2017-09-03,61,5.0,False,0.05,3.0500000000000003
2017-09-04,61,5.0,,0.05,3.0500000000000003
2017-09-05,62,5.0,,0.05,3.1
2017-09-06,67,5.0,,0.05,3.35
2017-09-07,48,5.0,,0.05,2.4000000000000004
2017-09-08,61,5.0,,0.05,3.0500000000000003
2017-09-09,53,5.0,,0.05,2.6500000000000004
2017-09-10,48,5.0,False,0.05,2.4000000000000004
2017-09-11,56,5.0,,0.05,2.8000000000000003
2017-09-12,38,5.0,,0.05,1.9000000000000001
2017-09-13,49,5.0,,0.05,2.45
2017-09-14,51,5.0,,0.05,2.5500000000000003
2017-09-15,76,5.0,,0.05,3.8000000000000003
2017-09-16,44,5.0,,0.05,2.2
2017-09-17,44,4.0,False,0.04,1.76
2017-09-18,49,4.0,,0.04,1.96
2017-09-19,45,4.0,,0.04,1.8
2017-09-20,36,4.0,,0.04,1.44
2017-09-21,40,4.0,,0.04,1.6
2017-09-22,33,4.0,,0.04,1.32
2017-09-23,35,4.0,,0.04,1.4000000000000001
2017-09-24,34,3.0,False,0.03,1.02
2017-09-25,41,3.0,,0.03,1.23
2017-09-26,34,3.0,,0.03,1.02
2017-09-27,35,3.0,,0.03,1.05
2017-09-28,40,3.0,,0.03,1.2
2017-09-29,36,3.0,,0.03,1.08
2017-09-30,31,3.0,,0.03,0.9299999999999999
2017-10-01,36,3.0,False,0.03,1.08
2017-10-02,49,3.0,,0.03,1.47
2017-10-03,54,3.0,,0.03,1.6199999999999999
2017-10-04,39,3.0,,0.03,1.17
2017-10-05,54,3.0,,0.03,1.6199999999999999
2017-10-06,49,3.0,,0.03,1.47
2017-10-07,44,3.0,,0.03,1.3199999999999998
2017-10-08,42,5.0,False,0.05,2.1
2017-10-09,60,5.0,,0.05,3.0
2017-10-10,51,5.0,,0.05,2.5500000000000003
2017-10-11,51,5.0,,0.05,2.5500000000000003
2017-10-12,75,5.0,,0.05,3.75
2017-10-13,100,5.0,,0.05,5.0
2017-10-14,86,5.0,,0.05,4.3
2017-10-15,77,5.0,False,0.05,3.85
2017-10-16,91,5.0,,0.05,4.55
2017-10-17,66,5.0,,0.05,3.3000000000000003
2017-10-18,80,5.0,,0.05,4.0
2017-10-19,72,5.0,,0.05,3.6
2017-10-20,78,5.0,,0.05,3.9000000000000004
2017-10-21,96,5.0,,0.05,4.800000000000001
2017-10-22,75,5.0,False,0.05,3.75
2017-10-23,81,5.0,,0.05,4.05
2017-10-24,86,5.0,,0.05,4.3
2017-10-25,70,5.0,,0.05,3.5
2017-10-26,74,5.0,,0.05,3.7
2017-10-27,62,5.0,,0.05,3.1
2017-10-28,53,5.0,,0.05,2.6500000000000004
2017-10-29,65,8.0,False,0.08,5.2
2017-10-30,73,8.0,,0.08,5.84
2017-10-31,78,8.0,,0.08,6.24
2017-11-01,16,8.0,,0.08,1.28
2017-11-02,27,8.0,,0.08,2.16
2017-11-03,26,8.0,,0.08,2.08
2017-11-04,19,8.0,,0.08,1.52
2017-11-05,20,9.0,False,0.09,1.7999999999999998
2017-11-06,20,9.0,,0.09,1.7999999999999998
2017-11-07,19,9.0,,0.09,1.71
2017-11-08,23,9.0,,0.09,2.07
2017-11-09,24,9.0,,0.09,2.16
2017-11-10,20,9.0,,0.09,1.7999999999999998
2017-11-11,17,9.0,,0.09,1.53
2017-11-12,21,8.0,False,0.08,1.68
2017-11-13,22,8.0,,0.08,1.76
2017-11-14,18,8.0,,0.08,1.44
2017-11-15,17,8.0,,0.08,1.36
2017-11-16,19,8.0,,0.08,1.52
2017-11-17,28,8.0,,0.08,2.24
2017-11-18,14,8.0,,0.08,1.12
2017-11-19,20,9.0,False,0.09,1.7999999999999998
2017-11-20,22,9.0,,0.09,1.98
2017-11-21,26,9.0,,0.09,2.34
2017-11-22,23,9.0,,0.09,2.07
2017-11-23,20,9.0,,0.09,1.7999999999999998
2017-11-24,23,9.0,,0.09,2.07
2017-11-25,27,9.0,,0.09,2.4299999999999997
2017-11-26,34,22.0,False,0.22,7.48
2017-11-27,40,22.0,,0.22,8.8
2017-11-28,54,22.0,,0.22,11.88
2017-11-29,100,22.0,,0.22,22.0
2017-11-30,63,22.0,,0.22,13.86
2017-12-01,26,22.0,,0.22,5.72
2017-12-02,23,22.0,,0.22,5.06
2017-12-03,23,34.0,False,0.34,7.82
2017-12-04,23,34.0,,0.34,7.82
2017-12-05,29,34.0,,0.34,9.860000000000001
2017-12-06,43,34.0,,0.34,14.620000000000001
2017-12-07,77,34.0,,0.34,26.180000000000003
2017-12-08,64,34.0,,0.34,21.76
2017-12-09,52,34.0,,0.34,17.68
2017-12-10,35,51.0,False,0.51,17.85
2017-12-11,55,51.0,,0.51,28.05
2017-12-12,95,51.0,,0.51,48.45
2017-12-13,78,51.0,,0.51,39.78
2017-12-14,71,51.0,,0.51,36.21
2017-12-15,58,51.0,,0.51,29.580000000000002
2017-12-16,47,51.0,,0.51,23.97
2017-12-17,51,50.0,False,0.5,25.5
2017-12-18,47,50.0,,0.5,23.5
2017-12-19,60,50.0,,0.5,30.0
2017-12-20,100,50.0,,0.5,50.0
2017-12-21,68,50.0,,0.5,34.0
2017-12-22,80,50.0,,0.5,40.0
2017-12-23,49,50.0,,0.5,24.5
2017-12-24,37,31.0,False,0.31,11.47
2017-12-25,32,31.0,,0.31,9.92
2017-12-26,36,31.0,,0.31,11.16
2017-12-27,40,31.0,,0.31,12.4
2017-12-28,38,31.0,,0.31,11.78
2017-12-29,48,31.0,,0.31,14.879999999999999
2017-12-30,51,31.0,,0.31,15.81
2017-12-31,36,42.0,False,0.42,15.12
2018-01-01,38,42.0,,0.42,15.959999999999999
2018-01-02,65,42.0,,0.42,27.3
2018-01-03,83,42.0,,0.42,34.86
2018-01-04,100,42.0,,0.42,42.0
2018-01-05,85,42.0,,0.42,35.699999999999996
2018-01-06,59,42.0,,0.42,24.779999999999998
2018-01-07,56,29.0,False,0.29,16.24
2018-01-08,64,29.0,,0.29,18.56
2018-01-09,53,29.0,,0.29,15.37
2018-01-10,53,29.0,,0.29,15.37
2018-01-11,42,29.0,,0.29,12.18
2018-01-12,35,29.0,,0.29,10.149999999999999
2018-01-13,36,29.0,,0.29,10.44
2018-01-14,26,21.0,False,0.21,5.46
2018-01-15,31,21.0,,0.21,6.51
2018-01-16,40,21.0,,0.21,8.4
2018-01-17,44,21.0,,0.21,9.24
2018-01-18,38,21.0,,0.21,7.9799999999999995
2018-01-19,26,21.0,,0.21,5.46
2018-01-20,26,21.0,,0.21,5.46
2018-01-21,24,12.0,False,0.12,2.88
2018-01-22,24,12.0,,0.12,2.88
2018-01-23,22,12.0,,0.12,2.6399999999999997
2018-01-24,20,12.0,,0.12,2.4
2018-01-25,21,12.0,,0.12,2.52
2018-01-26,19,12.0,,0.12,2.28
2018-01-27,16,12.0,,0.12,1.92
2018-01-28,16,11.0,False,0.11,1.76
2018-01-29,19,11.0,,0.11,2.09
2018-01-30,21,11.0,,0.11,2.31
2018-01-31,16,11.0,,0.11,1.76
2018-02-01,93,11.0,,0.11,10.23
2018-02-02,100,11.0,,0.11,11.0
2018-02-03,75,11.0,,0.11,8.25
2018-02-04,66,11.0,False,0.11,7.26
2018-02-05,86,11.0,,0.11,9.46
2018-02-06,86,11.0,,0.11,9.46
2018-02-07,72,11.0,,0.11,7.92
2018-02-08,66,11.0,,0.11,7.26
2018-02-09,57,11.0,,0.11,6.2700000000000005
2018-02-10,65,11.0,,0.11,7.15
2018-02-11,48,10.0,False,0.1,4.800000000000001
2018-02-12,60,10.0,,0.1,6.0
2018-02-13,44,10.0,,0.1,4.4
2018-02-14,62,10.0,,0.1,6.2
2018-02-15,85,10.0,,0.1,8.5
2018-02-16,72,10.0,,0.1,7.2
2018-02-17,81,10.0,,0.1,8.1
2018-02-18,62,8.0,False,0.08,4.96
2018-02-19,70,8.0,,0.08,5.6000000000000005
2018-02-20,67,8.0,,0.08,5.36
2018-02-21,55,8.0,,0.08,4.4
2018-02-22,50,8.0,,0.08,4.0
2018-02-23,45,8.0,,0.08,3.6
2018-02-24,40,8.0,,0.08,3.2
2018-02-25,37,6.0,False,0.06,2.2199999999999998
2018-02-26,50,6.0,,0.06,3.0
2018-02-27,46,6.0,,0.06,2.76
2018-02-28,46,6.0,,0.06,2.76
2018-03-01,53,6.0,,0.06,3.1799999999999997
2018-03-02,54,6.0,,0.06,3.2399999999999998
2018-03-03,47,6.0,,0.06,2.82
