date,miner_unscaled,miner_monthly,isPartial,scale,miner
2017-08-01,80,,,,
2017-08-02,80,,,,
2017-08-03,67,,,,
2017-08-04,65,,,,
2017-08-05,79,,,,
2017-08-06,78,45.0,False,0.45,35.1
2017-08-07,95,45.0,,0.45,42.75
2017-08-08,90,45.0,,0.45,40.5
2017-08-09,88,45.0,,0.45,39.6
2017-08-10,81,45.0,,0.45,36.45
2017-08-11,80,45.0,,0.45,36.0
2017-08-12,68,45.0,,0.45,30.6
2017-08-13,88,50.0,False,0.5,44.0
2017-08-14,100,50.0,,0.5,50.0
2017-08-15,98,50.0,,0.5,49.0
2017-08-16,85,50.0,,0.5,42.5
2017-08-17,87,50.0,,0.5,43.5
2017-08-18,79,50.0,,0.5,39.5
2017-08-19,83,50.0,,0.5,41.5
2017-08-20,87,47.0,False,0.47,40.89
2017-08-21,66,47.0,,0.47,31.02
2017-08-22,99,47.0,,0.47,46.529999999999994
2017-08-23,87,47.0,,0.47,40.89
2017-08-24,99,47.0,,0.47,46.529999999999994
2017-08-25,93,47.0,,0.47,43.71
2017-08-26,88,47.0,,0.47,41.36
2017-08-27,83,51.0,False,0.51,42.33
2017-08-28,81,51.0,,0.51,41.31
2017-08-29,80,51.0,,0.51,40.8
2017-08-30,82,51.0,,0.51,41.82
2017-08-31,76,51.0,,0.51,38.76
2017-09-01,100,51.0,,0.51,51.0
2017-09-02,80,51.0,,0.51,40.8
2017-09-03,93,51.0,False,0.51,47.43
2017-09-04,86,51.0,,0.51,43.86
2017-09-05,75,51.0,,0.51,38.25
2017-09-06,94,51.0,,0.51,47.94
2017-09-07,90,51.0,,0.51,45.9
2017-09-08,88,51.0,,0.51,44.88
2017-09-09,78,51.0,,0.51,39.78
2017-09-10,73,45.0,False,0.45,32.85
2017-09-11,75,45.0,,0.45,33.75
2017-09-12,73,45.0,,0.45,32.85
2017-09-13,71,45.0,,0.45,31.95
2017-09-14,86,45.0,,0.45,38.7
2017-09-15,63,45.0,,0.45,28.35
2017-09-16,70,45.0,,0.45,31.5
2017-09-17,73,46.0,False,0.46,33.58
2017-09-18,83,46.0,,0.46,38.18
2017-09-19,77,46.0,,0.46,35.42
2017-09-20,73,46.0,,0.46,33.58
2017-09-21,73,46.0,,0.46,33.58
2017-09-22,77,46.0,,0.46,35.42
2017-09-23,74,46.0,,0.46,34.04
2017-09-24,68,46.0,False,0.46,31.28
2017-09-25,77,46.0,,0.46,35.42
2017-09-26,84,46.0,,0.46,38.64
2017-09-27,76,46.0,,0.46,34.96
2017-09-28,92,46.0,,0.46,42.32
2017-09-29,75,46.0,,0.46,34.5
2017-09-30,80,46.0,,0.46,36.800000000000004
2017-10-01,72,45.0,False,0.45,32.4
2017-10-02,75,45.0,,0.45,33.75
2017-10-03,91,45.0,,0.45,40.95
2017-10-04,67,45.0,,0.45,30.150000000000002
2017-10-05,80,45.0,,0.45,36.0
2017-10-06,70,45.0,,0.45,31.5
2017-10-07,76,45.0,,0.45,34.2
2017-10-08,78,51.0,False,0.51,39.78
2017-10-09,72,51.0,,0.51,36.72
2017-10-10,81,51.0,,0.51,41.31
2017-10-11,76,51.0,,0.51,38.76
2017-10-12,91,51.0,,0.51,46.410000000000004
2017-10-13,93,51.0,,0.51,47.43
2017-10-14,76,51.0,,0.51,38.76
2017-10-15,85,51.0,False,0.51,43.35
2017-10-16,90,51.0,,0.51,45.9
2017-10-17,83,51.0,,0.51,42.33
2017-10-18,91,51.0,,0.51,46.410000000000004
2017-10-19,88,51.0,,0.51,44.88
2017-10-20,84,51.0,,0.51,42.84
2017-10-21,92,51.0,,0.51,46.92
2017-10-22,83,49.0,False,0.49,40.67
2017-10-23,98,49.0,,0.49,48.019999999999996
2017-10-24,84,49.0,,0.49,41.16
2017-10-25,96,49.0,,0.49,47.04
2017-10-26,84,49.0,,0.49,41.16
2017-10-27,100,49.0,,0.49,49.0
2017-10-28,83,49.0,,0.49,40.67
2017-10-29,97,58.0,False,0.58,56.26
2017-10-30,85,58.0,,0.58,49.3
2017-10-31,89,58.0,,0.58,51.62
2017-11-01,67,58.0,,0.58,38.86
2017-11-02,79,58.0,,0.58,45.82
2017-11-03,77,58.0,,0.58,44.66
2017-11-04,63,58.0,,0.58,36.54
2017-11-05,70,58.0,False,0.58,40.599999999999994
2017-11-06,62,58.0,,0.58,35.96
2017-11-07,79,58.0,,0.58,45.82
2017-11-08,69,58.0,,0.58,40.019999999999996
2017-11-09,72,58.0,,0.58,41.76
2017-11-10,64,58.0,,0.58,37.12
2017-11-11,66,58.0,,0.58,38.279999999999994
2017-11-12,76,62.0,False,0.62,47.12
2017-11-13,83,62.0,,0.62,51.46
2017-11-14,70,62.0,,0.62,43.4
2017-11-15,69,62.0,,0.62,42.78
2017-11-16,64,62.0,,0.62,39.68
2017-11-17,67,62.0,,0.62,41.54
2017-11-18,64,62.0,,0.62,39.68
2017-11-19,70,58.0,False,0.58,40.599999999999994
2017-11-20,71,58.0,,0.58,41.18
2017-11-21,65,58.0,,0.58,37.699999999999996
2017-11-22,70,58.0,,0.58,40.599999999999994
2017-11-23,63,58.0,,0.58,36.54
2017-11-24,53,58.0,,0.58,30.74
2017-11-25,59,58.0,,0.58,34.22
2017-11-26,78,73.0,False,0.73,56.94
2017-11-27,64,73.0,,0.73,46.72
2017-11-28,90,73.0,,0.73,65.7
2017-11-29,93,73.0,,0.73,67.89
2017-11-30,100,73.0,,0.73,73.0
2017-12-01,57,73.0,,0.73,41.61
2017-12-02,65,73.0,,0.73,47.449999999999996
2017-12-03,69,89.0,False,0.89,61.410000000000004
2017-12-04,63,89.0,,0.89,56.07
2017-12-05,66,89.0,,0.89,58.74
2017-12-06,81,89.0,,0.89,72.09
2017-12-07,84,89.0,,0.89,74.76
2017-12-08,87,89.0,,0.89,77.43
2017-12-09,86,89.0,,0.89,76.54
2017-12-10,76,100.0,False,1.0,76.0
2017-12-11,81,100.0,,1.0,81.0
2017-12-12,100,100.0,,1.0,100.0
2017-12-13,86,100.0,,1.0,86.0
2017-12-14,88,100.0,,1.0,88.0
2017-12-15,83,100.0,,1.0,83.0
2017-12-16,83,100.0,,1.0,83.0
2017-12-17,85,95.0,False,0.95,80.75
2017-12-18,79,95.0,,0.95,75.05
2017-12-19,82,95.0,,0.95,77.89999999999999
