date,sell btc_unscaled,sell btc_monthly,isPartial,scale,sell btc
2017-08-01,86,,,,
2017-08-02,41,,,,
2017-08-03,22,,,,
2017-08-04,22,,,,
2017-08-05,76,,,,
2017-08-06,0,19.0,False,0.19,0.0
2017-08-07,0,19.0,,0.19,0.0
2017-08-08,62,19.0,,0.19,11.78
2017-08-09,0,19.0,,0.19,0.0
2017-08-10,88,19.0,,0.19,16.72
2017-08-11,0,19.0,,0.19,0.0
2017-08-12,75,19.0,,0.19,14.25
2017-08-13,100,36.0,False,0.36,36.0
2017-08-14,22,36.0,,0.36,7.92
2017-08-15,22,36.0,,0.36,7.92
2017-08-16,22,36.0,,0.36,7.92
2017-08-17,43,36.0,,0.36,15.479999999999999
2017-08-18,45,36.0,,0.36,16.2
2017-08-19,50,36.0,,0.36,18.0
2017-08-20,24,16.0,False,0.16,3.84
2017-08-21,21,16.0,,0.16,3.36
2017-08-22,21,16.0,,0.16,3.36
2017-08-23,43,16.0,,0.16,6.88
2017-08-24,0,16.0,,0.16,0.0
2017-08-25,0,16.0,,0.16,0.0
2017-08-26,0,16.0,,0.16,0.0
2017-08-27,0,38.0,False,0.38,0.0
2017-08-28,0,38.0,,0.38,0.0
2017-08-29,42,38.0,,0.38,15.96
2017-08-30,86,38.0,,0.38,32.68
2017-08-31,21,38.0,,0.38,7.98
2017-09-01,45,38.0,,0.38,17.1
2017-09-02,100,38.0,,0.38,38.0
2017-09-03,0,16.0,False,0.16,0.0
2017-09-04,88,16.0,,0.16,14.08
2017-09-05,0,16.0,,0.16,0.0
2017-09-06,83,16.0,,0.16,13.280000000000001
2017-09-07,86,16.0,,0.16,13.76
2017-09-08,44,16.0,,0.16,7.04
2017-09-09,0,16.0,,0.16,0.0
2017-09-10,0,19.0,False,0.19,0.0
2017-09-11,42,19.0,,0.19,7.98
2017-09-12,0,19.0,,0.19,0.0
2017-09-13,42,19.0,,0.19,7.98
2017-09-14,84,19.0,,0.19,15.96
2017-09-15,88,19.0,,0.19,16.72
2017-09-16,49,19.0,,0.19,9.31
2017-09-17,48,13.0,False,0.13,6.24
2017-09-18,42,13.0,,0.13,5.46
2017-09-19,41,13.0,,0.13,5.33
2017-09-20,0,13.0,,0.13,0.0
2017-09-21,85,13.0,,0.13,11.05
2017-09-22,44,13.0,,0.13,5.720000000000001
2017-09-23,0,13.0,,0.13,0.0
2017-09-24,0,13.0,False,0.13,0.0
2017-09-25,0,13.0,,0.13,0.0
2017-09-26,42,13.0,,0.13,5.46
2017-09-27,0,13.0,,0.13,0.0
2017-09-28,85,13.0,,0.13,11.05
2017-09-29,44,13.0,,0.13,5.720000000000001
2017-09-30,49,13.0,,0.13,6.37
2017-10-01,0,5.0,False,0.05,0.0
2017-10-02,33,5.0,,0.05,1.6500000000000001
2017-10-03,33,5.0,,0.05,1.6500000000000001
2017-10-04,0,5.0,,0.05,0.0
2017-10-05,33,5.0,,0.05,1.6500000000000001
2017-10-06,0,5.0,,0.05,0.0
2017-10-07,0,5.0,,0.05,0.0
2017-10-08,37,11.0,False,0.11,4.07
2017-10-09,32,11.0,,0.11,3.52
2017-10-10,95,11.0,,0.11,10.45
2017-10-11,64,11.0,,0.11,7.04
2017-10-12,100,11.0,,0.11,11.0
2017-10-13,34,11.0,,0.11,3.74
2017-10-14,0,11.0,,0.11,0.0
2017-10-15,0,19.0,False,0.19,0.0
2017-10-16,64,19.0,,0.19,12.16
2017-10-17,0,19.0,,0.19,0.0
2017-10-18,33,19.0,,0.19,6.2700000000000005
2017-10-19,33,19.0,,0.19,6.2700000000000005
2017-10-20,0,19.0,,0.19,0.0
2017-10-21,37,19.0,,0.19,7.03
2017-10-22,0,8.0,False,0.08,0.0
2017-10-23,32,8.0,,0.08,2.56
2017-10-24,0,8.0,,0.08,0.0
2017-10-25,64,8.0,,0.08,5.12
2017-10-26,32,8.0,,0.08,2.56
2017-10-27,34,8.0,,0.08,2.72
2017-10-28,75,8.0,,0.08,6.0
2017-10-29,0,35.0,False,0.35,0.0
2017-10-30,0,35.0,,0.35,0.0
2017-10-31,0,35.0,,0.35,0.0
2017-11-01,33,35.0,,0.35,11.549999999999999
2017-11-02,100,35.0,,0.35,35.0
2017-11-03,17,35.0,,0.35,5.949999999999999
2017-11-04,0,35.0,,0.35,0.0
2017-11-05,0,28.0,False,0.28,0.0
2017-11-06,0,28.0,,0.28,0.0
2017-11-07,0,28.0,,0.28,0.0
2017-11-08,64,28.0,,0.28,17.92
2017-11-09,32,28.0,,0.28,8.96
2017-11-10,33,28.0,,0.28,9.24
2017-11-11,37,28.0,,0.28,10.360000000000001
2017-11-12,36,20.0,False,0.2,7.2
2017-11-13,0,20.0,,0.2,0.0
2017-11-14,16,20.0,,0.2,3.2
2017-11-15,16,20.0,,0.2,3.2
2017-11-16,0,20.0,,0.2,0.0
2017-11-17,17,20.0,,0.2,3.4000000000000004
2017-11-18,0,20.0,,0.2,0.0
2017-11-19,18,34.0,False,0.34,6.12
2017-11-20,0,34.0,,0.34,0.0
2017-11-21,16,34.0,,0.34,5.44
2017-11-22,80,34.0,,0.34,27.200000000000003
2017-11-23,0,34.0,,0.34,0.0
2017-11-24,0,34.0,,0.34,0.0
2017-11-25,54,34.0,,0.34,18.360000000000003
2017-11-26,36,59.0,False,0.59,21.24
2017-11-27,31,59.0,,0.59,18.29
2017-11-28,31,59.0,,0.59,18.29
2017-11-29,16,59.0,,0.59,9.44
2017-11-30,32,59.0,,0.59,18.88
2017-12-01,52,59.0,,0.59,30.68
2017-12-02,11,59.0,,0.59,6.489999999999999
2017-12-03,22,90.0,False,0.9,19.8
2017-12-04,39,90.0,,0.9,35.1
2017-12-05,10,90.0,,0.9,9.0
